Normal,Status
balas saham arb hari haha,Belum
asing tinggal sih kayak efek seram ritel eui balas foto lihat dasar muda efek ihsg alias hijau besok copet ihsg merah hijau sore cuan kosong porto,Positif
balas om sentimen hijau kuat mana lini hijau hasil menang guyur follow theoney,Positif
balas mohon cerah om atur cl total modal modal trade ya ideal sih modal trade yah cuan target modal trade overall modal incar tp cuan pasti overall modal,Positif
haka jjta lot,Positif
balas volume volume candle hari ya volume transaksi transaksi tekan jual beli tambah teman correct salah,Positif
balas info rm alfius komisi pemuda uskup makasar mgr romo teman kor syukur korban jiwa umat sinyal wiseman valid ungu naik orange struktur harga volume oke hm foto sinyal wiseman valid formasi candle sinyal buy hm foto,Positif
balas kenal saham sih risky yah kecuali capital all in nya kat ya jimmy kenal tarik uptren posisi mantap ma or ma mantap support candle,Positif
mantap foto,Positif
balas ne maksud jebol mantulnya fibonacci om,Positif
yah maksud ritel gambling beli saham lk prediksi lk nya profit lk profit saham naik tp sore masuk kriteria wb dapat loh beda dapat yah silah,Positif
yup day trading zero sum game cuan boncos beda cuan karena harga saham naik sebab hasil usaha cetak laba zero sum game orang pegang saham harga naik lk profit orang tarik saham shg saham naik harga,Positif
tarik chartnya apa lagi ri cuan njedog tuh,Positif
balas iya kadang cl harga naik jadi komit target iseng beli harga langsung haka naik turun jual naik fomo beli turun tahan maksud cl masuk tp plus,Positif
balas tp cl masuk kalah cepat average iya kadang cl harga naik jadi,Positif
balas persis pegang berita naik naik cuan lumayan bilang ama saudara sampa pullback break ath kemarin naik ikut kerja laku saham kerja positif,Positif
nya potensi ssp,Positif
balas dividen cari duit kupon obligasi bayar persis pegang berita naik naik cuan lumayan bilang ama saudara target tinggal langsung amblas dividen kabur bagus ngaruh saham sorry pribadi beda analisa kelar,Positif
balas contoh barusan jadi dirut tarik orang investor bijak bagus hubung orang nurut bilang untung naik tp dividen,Positif
potensi bikin hns foto,Positif
balas terimakasih insightnya garis ungu batas cl entry ya garis ungu sinyal buy candle,Positif
balas break volume masuk optimal entry ya spekulasi cicil dekat maw nya iya posisi nya market turun kakak beda cari pivot entry saham uptrend flat base cnh rounding,Positif
balas foto haha hasil cuan balikin usaha ya pakde,Positif
lanjut pamit belanja,Positif
minggu ara wajib pantau berita media,Positif
balas berkat guru guru benhan semenjak guru sharing alam dapat untung cuan salah take profit praktek modal grow,Positif
balas mantap set stoploss cutloss profit,Positif
balas foto beli analisa,Positif
habis cl saham cari ganti posisi triangle eh bo average down saham naik akumulasi asing hehe kadang kedistract akumulasi asing versus support resis,Positif
balas ragu rakhmad uptren topik pagi average down average ragu bu senin average down harga naik duluan,Positif
balas case lanjur mantap turun cl beli average up kamis bottom bentuk hammer hijau volume bagus masuk,Positif
uptren,Positif
balas average nya segitu harga closing kemarin average down mending tunggu konfirmasi naik average up,Positif
pagi tt average down sd foto,Positif
average down capai toleransi cutloss ya ok pas koreksi ri kemarin pas koreksi average down ok turun reversal trend,Positif
rocket,Positif
ayo mumpung libur wisata taman fresh senin,Positif
balas baca alam suhu kaca alam pribadi rule nomor trading pasang stop loss tuju kakak pasang stop loss tiap posisi upgrade to trailing stop take profit take profit nya stop loss lihat account grow,Positif
lirik,Positif
teman covid maret potensi loss habis balik profit angkat jempol nya maret ya,Positif
balas nya pantau bu lihat bagus tunggu konfirmasi koreksi salah kemarin masuk kak bentuk mjolnir hijau volume bagus thank you remindernya eko bawono wujud cup nya cantik,Positif
beli buy tutup angka lancar sapa tau foto foto,Positif
balas foto nya pantau bu lihat bagus tunggu konfirmasi koreksi salah,Positif
ijin bagi analisa buyer pasuk arena tahan bawah fibonacci area sell signal guru eko besok lanjut naik turun dekat manya ma colek ngegas tunggu area ma foto,Positif
balas foto history garis hitam potensi break weakly cantik candle nya,Positif
balas foto naik volume buy on weakness jalan lewat resistnya by body,Positif
tes garis support hijau hasil tahan support cicil beli break garis hitam average up,Positif
tt nya jebol resistance ath nih,Positif
terimakasih view nya indeks moga juni cuan njedog,Positif
tt ara grup jutha hahha,Positif
balas tau mute asix dengar masak grup saham kode saham ya minggu,Positif
goreng,Positif
balas haka muka beser haka kemarin,Positif
balas haka haka muka beser,Positif
balas yup swing low confirmed moga april last chance to buy before start to tes april mei moga yiha musim tanam kemarin,Positif
balas resmi suhu terima kasih bantu forecast nya yup swing low confirmed moga april last chance to buy before start to tes april mei,Positif
cakep ya,Positif
balas tp ritel ngikut lumayan serok cuan,Positif
balas htf nya ya konfirmasi senin harga naik volume,Positif
ihsg hijau gin ramai ya gilir merah diam,Positif
gerak,Positif
balas pasti lamar jabat level management ya msop esop mesop employee,Positif
balas sadar maret pasang gtc sadar siang heran tembus yes ihns shoulder bikin base nya,Positif
balas wahaha abaru minggu gerah nih sadar maret pasang gtc sadar siang heran tembus ihns,Positif
ihsg rocket rocket rocket rocket rocket,Positif
balas yeay ihsg tembus,Positif
yeay ihsg tembus,Positif
balas salah tumpah piring sold barusan kena,Positif
jaya is back,Positif
kenyang airplane airplane airplane airplane,Positif
balas ampun rem blong moga ara kasi sangkut untung buru tp,Positif
ampun rem blong,Positif
balas sadis ya om related pat wal police car iya private equity yah gitu kerja nya beli usaha babak bur cantik jual investasi sangkut akuisisi buma harga salah,Positif
banking rally sip ihsg tahan,Positif
serok arb kakak rocket rocket,Positif
balas ingat saham om tau cerita kd go private durian runtuh saham northstar untung habis placement michelin saham nya northstar aktif,Positif
balas lihat produk nya si go private minim usaha go private pandemi gin bu iya cerita kaya saham jaga ketat bocor halus,Positif
sih ya lebih nih dilebihin,Positif
kali lipat guys beli maret xixixi,Positif
balas enak beli rp perak harga pasar xx cuan mesop ya,Positif
balas sih pasti lumayan goreng an lipat lipat yah om,Positif
enak beli rp perak harga pasar xx cuan,Positif
balas asing beli ri sih pintar beli nya harga disc an harga pasar smart karyawan kasih beli harga disc an harga pasar ya cuan langsung dokumen nya lock up,Positif
asing beli ri sih pintar beli nya harga disc an harga pasar smart,Positif
balas kemarin beli bilang sih pasti lumayan goreng an lipat,Positif
ihsg dari tadi naik koreksi sebentar bentar bawa turun ya lumayan,Positif
balas segi om saing harga saham bisnis bisnis akuisisi gojek tau customer guna gojek indonesia,Positif
balas takut mg jarang nongol nongol naik,Positif
balas kemarin beli bilang masuk msci harga jaga sevolatile,Positif
balas beli pbv update equity nya right issue pbv kit beli goreng harap goreng,Positif
balas beli pbv update equity nya right issue pbv kit kemarin beli bilang,Positif
