,Data,User,Pesan,Saham,Jam,Tanggal
0,1,Chan,"Membalas : Jadi lebaran kali ini itu ga boleh mudik tp boleh liburan.. Gitu kan ya..
Haha soalny klo di kmpung ksus ny ga byk klo org kota plg ke kmpung bwa virus sdh lah slesai",KOTA,11:22:05 PM,Saturday May 15 2021
1,2,Cut Ema,"Membalas : Galak tapi lucu lho. Unique combination.    
Hahahah gk lah pakde mana ada galak... klo muka yh udhlah yaa settingan pabriknya mang udh RBF   klo bs tuker tambah jg mau ak mah...  .... 
yah cuma mang anaknya type saklek aja gk bs menye menye lgsg straight to the point ... sm intonansi ketika chat kan pake intonansi yg baca seolah2 galak pdhl mah kita ngetik jg sambil ketawa2   ",BACA,10:16:21 PM,Saturday May 15 2021
2,3,Franky Hartanto,"ITMG FIBO W REV2
Ini adalah foto
Maaf Pakdhe harusnya spt ini ya?bukannya FIBO salah satunya u memproyeksikan arah ke depan nya ya ?",ITMG,10:09:02 PM,Saturday May 15 2021
3,4,hery,"Membalas : sepupu teman saya ada yg baru meninggal. PCR negatif. masuk RS saturasi oksigen 40%. masih sadar. besok nya meninggal. hasil ron
oia, yg ini sudah selesai vaksin kedua nya. jadi yg sudah selesai vaksin juga, stay safe. pantang kendor  ",SAFE,9:52:46 PM,Saturday May 15 2021
4,5,Franky Hartanto,"ITMG FIBO W Rev1
Ini adalah foto",ITMG,9:52:02 PM,Saturday May 15 2021
5,6,Franky Hartanto,"ITMG FIBO W
Ini adalah foto",ITMG,9:35:05 PM,Saturday May 15 2021
6,7,             ,"Ehhh ada orangnya.       
Kirain gak baca",BACA,9:17:32 PM,Saturday May 15 2021
7,8,Aldo,"    smoga aman terkendali arus balik. Covid ga naek, ekonomi pulih, ihsg  ",AMAN,9:15:24 PM,Saturday May 15 2021
8,9,RonRon,"Membalas : Suplemen mgkn? Vit D3 ?
Yups... Benar....
Suplemen D3.
Dosis di atas 5.000iu hrs di sertai vit K2.
Jg hrs ada Zinc+Magnesium

Buat maintain :
- Vit D3+K2 = 10.000iu/day
- Zinc = 50 mg
- Magnesium = 480mg/day (cowo)
- Magnesium = 320mg/day (cewe)

Itu aja yg bs saya bagikan disini.
Karena ini channel bahas saham.
Ntar kalau pembahasan di luar judul channel ini, saya di kick oleh admin...  
Membalas : bukan patokan pak..
Yg jelas kalau defisiensi yah gawat..
Saya gk mau terlalu bnyk komentar, kalau orang nya belum cek lab kadar vit D dlm darah.
Patokan nya yah hasil cek lab itu...

Hasil lab gk akan berbohong...
Anggap lah hasil lab A itu kurang meyakinkan...
Coba cek ulang lagi di lab B...
Kalau udh cek 2x di lab yg berbeda... Berarti emang itulah hasil yg sebenarnya...  ",ZINC,9:04:11 PM,Saturday May 15 2021
9,10,Aldo,"Membalas : Yg hrs di lakukan pertama kali ya cek kadar vit D dlm darah. Karena hasil tiap orang beda"".. Bisa cek di RS terdekat di kota ma
bukan patokan pak..",KOTA,9:02:41 PM,Saturday May 15 2021
10,11,RonRon,"Membalas : Gimana naikinnya pak?
Yg hrs di lakukan pertama kali ya cek kadar vit D dlm darah. Karena hasil tiap orang beda""..

Bisa cek di RS terdekat di kota masing"", atau di Prodia (bukan di endorse) juga bs.
Lihat hasilnya dulu...
Kalau di bawah 30 itu mengkuatirkan..
Kalau di bawah 20 = waspada
Kalau di bawah 10 = gawat",KOTA,9:00:15 PM,Saturday May 15 2021
11,12,hery,"Membalas : Stay safe ya guys, yg masi belum percaya Covid, pendapatan terganggu akibat Covid, atau pengikut Teluur, hati2 sayangi keluarga
stay safe terutama yang di garda terdepan   ",SAFE,8:58:27 PM,Saturday May 15 2021
12,13,Aldo,"Stay safe ya guys, yg masi belum percaya Covid, pendapatan terganggu akibat Covid, atau pengikut Teluur, hati2 sayangi keluarga anda, stay safe trus  ","SAFE,TRUS",8:50:30 PM,Saturday May 15 2021
13,14,RonRon,"Membalas : sepupu teman saya ada yg baru meninggal. PCR negatif. masuk RS saturasi oksigen 40%. masih sadar. besok nya meninggal. hasil ron
Sudah cek kadar vit D dlm darah?
Soalnya rata"" pasien yg terkena covid parah itu pst defisiensi vit D.
Kadar vit D dlm darah (optimal blood level) = 100-140 ng/mL

Rata"" orang indo gk akan lebih dr 30 ng/mL (Ini yg parah).
Apalagi kalo di bawah 10.. Ckck.

Dan buat ngelawan covid di perlukan minimal >110ng/mL",INDO,8:49:44 PM,Saturday May 15 2021
14,15,Aldo,"Membalas : waduh. stay safe dok    ingat cuan menanti di akhir
iya ini terakhir, tmen saya yg hamil masi di ICU, kritis, bayinya yg lahir 3 hr lalu baru meninggal tadi pagi  .",SAFE,8:38:15 PM,Saturday May 15 2021
15,16,hery,"Membalas : bisa aja kalo sering kumur pake listerine/betadine pak, ada kasus yg org india dateng ke Indo itu   pcr - di sing, tapi skr na
waduh. stay safe dok   
ingat cuan menanti di akhir","INDO,SAFE",8:36:45 PM,Saturday May 15 2021
16,17,Aldo,"Membalas : sepupu teman saya ada yg baru meninggal. PCR negatif. masuk RS saturasi oksigen 40%. masih sadar. besok nya meninggal. hasil ron
bisa aja kalo sering kumur pake listerine/betadine pak, ada kasus yg org india dateng ke Indo itu   pcr - di sing, tapi skr nakes banyak kena yg nangani di kota saya ","INDO,KOTA",8:35:03 PM,Saturday May 15 2021
17,18,Reinaldo Mario,"Crypto lg banyak mainannya, major coin lagi sakit, orang2 main coin micin",MAIN,8:00:02 PM,Saturday May 15 2021
18,19,Deni S,"Membalas : Soon bakal ada curhatan crypto kah?  
Kalo sudah tiba waktunya, bakalan ada juga paling yang meraung raung pakde.. roda.berputar.. ",RODA,7:56:13 PM,Saturday May 15 2021
19,20,Andi FX,"Membalas : Semoga ndak sampai crisis ihsg kaya maret th lalu lagi ya  
Amin...

Tapi yg full cash berharap balik ke maret thn lalu..malah kalo bs lebih parah   ","AMIN,CASH",7:45:37 PM,Saturday May 15 2021
20,21,Charles Prop,"Membalas : Malah yg gak taat prokes bs jadi malah sehat2 kebal semua Ntar yg stay at home malah yg kena. Nah lo...di mana keadilan
Kalau mati sendiri si ga perduli ini kan ngajak2 org. Mana bisnis makin terpukul kalau covid merebak lg",HOME,7:41:02 PM,Saturday May 15 2021
21,22,RBTAN59,"Membalas : pak sandi mana nih pak sandi wkwkkw
sdg sibuk ngitung srtg mau  SS abis itu mau di buyback brp    ",SRTG,7:25:57 PM,Saturday May 15 2021
22,23,Andi FX,"Membalas : sudahlahh biar alam yg seleksi ...
Malah yg gak taat prokes bs jadi malah sehat2 kebal semua

Ntar yg stay at home malah yg kena.
Nah lo...di mana keadilan    ",HOME,7:20:38 PM,Saturday May 15 2021
23,24,William,"Membalas : ini pasti editan. masa segitu banyak org cuma satu yg pake masker.. terus apa iyah gak ada satgas yg tertibkan 100%hoax
Diatas ad foto ancol editan jg? Pake masker jg dikit haha","MASA,SATU",7:12:34 PM,Saturday May 15 2021
24,25,hery,"Membalas : ini pasti editan. masa segitu banyak org cuma satu yg pake masker.. terus apa iyah gak ada satgas yg tertibkan 100%hoax
saya sih masih berharap ini hoax pak","MASA,SATU",7:10:37 PM,Saturday May 15 2021
25,26,Ronny,"Membalas : ini pasti editan. masa segitu banyak org cuma satu yg pake masker.. terus apa iyah gak ada satgas yg tertibkan 100%hoax
Itu ada beritanya bener pada abai prokes","MASA,SATU",7:09:50 PM,Saturday May 15 2021
26,27,RBTAN59,"Membalas : Video
ini pasti editan. masa segitu banyak org cuma satu yg pake masker.. terus apa iyah gak ada satgas yg tertibkan 100%hoax ","MASA,SATU",7:08:18 PM,Saturday May 15 2021
