,Data,User,Pesan,Saham,Jam,Tanggal
0,1,Rays_Man,"wkwkwk..
porto trading ku sdh kayak supermarket lagi.. 
assa,lppf,cent,mlpl,doid,same..   apalagi ya    
tp sayang.. semuanya receh.. karena tak kuasa liat chart bagus
","ASSA,CENT,DOID,LPPF,MLPL,SAME",12:14:29 AM,Sunday April 18 2021
1,2,Rays_Man,"Membalas : Ga perlu ikut2an. Seperti kata pepatah dalami satu ilmu sampai matang lebih baik daripada cicip2 macam2 ilmu tapi ga ada yg jadi
siap Pak Ben.. 
makasih selalu atas dukungannya    
Membalas : betul.. saya mau iseng masuk kripto gak jd.. ingat pesan2 kmaren.. terutama dr Ko Liauw Budi ya..
kalau beneran gatel, jatah uang rokok bolehlah. biar tuntas penasarannya  
","BUDI,SATU,UANG",11:59:58 PM,Saturday April 17 2021
2,3,Benhan,"Membalas : betul.. saya mau iseng masuk kripto gak jd.. ingat pesan2 kmaren.. terutama dr Ko Liauw Budi ya..
Ga perlu ikut2an. Seperti kata pepatah dalami satu ilmu sampai matang lebih baik daripada cicip2 macam2 ilmu tapi ga ada yg jadi.","BUDI,SATU",11:57:28 PM,Saturday April 17 2021
3,4,Rays_Man,"Membalas : Webinar Curhat 2021 kemarin itu bagus: ada pepatah emas yg akan selalu saya ingat - ketika sudah euforia, hati2. Skrg kalau ada
betul.. saya mau iseng masuk kripto gak jd.. ingat pesan2 kmaren.. terutama dr Ko Liauw Budi ya..  ",BUDI,11:56:24 PM,Saturday April 17 2021
4,5,Benhan,"Membalas : Seperti emiten tambang sebelah gak naik2 jadiny    
BRMS ya? Dikira setiap RI pasti untung ya?  
Baguslah di sini ga banyak dibahas karena banyak yg malas bahas emiten B7","BRMS,SINI",11:48:56 PM,Saturday April 17 2021
5,6,EL s,"Membalas : Saya udah baca. Kalau Anda simak tulisan saya di atas, mestinya paham
Siyappp Om",BACA,11:44:14 PM,Saturday April 17 2021
6,7,Jutha Bram,"What the hell is this???

Kok ga ada sopan santunnya pak bu?

Saya pribadi aja ga ada promo2in grup kemana mana...
Ini kok asal crosslink

Pak @luckv02 mohon di delete, bener2 ga enak saya 

Pakde @hmasori mohon didelete pakde...
Maaf pakde, saya baru baca skrg ",BACA,11:43:42 PM,Saturday April 17 2021
7,8,Benhan,"Membalas : Oalah..     sebelumnya juga ada exercise waran.. aku kmaren tektok aja di FREN, beli lgs pasang bid jual di tik+1 dan +2
Hehe manfaatkan aja momentumnya. Paling ga sampai sentuh 100 lah kalau berani. Ingat lagi risk rewardnya.
Karena guyuran Fren itu terkenal kejam
Membalas : Photo
Saya udah baca. Kalau Anda simak tulisan saya di atas, mestinya paham  ","BACA,FREN",11:41:48 PM,Saturday April 17 2021
8,9,Rays_Man,"haha..
FREN is not a good friend  ","FREN,GOOD",11:41:33 PM,Saturday April 17 2021
9,10,krm nugraha,"untuk ri fren saya jd pnonton aja..  
suka fren makan fren ngeslin.",FREN,11:40:47 PM,Saturday April 17 2021
10,11,Benhan,"Membalas : Kalau lihat klbonus waranbyg 5:79 pasti banyak yg mau ambil ya om
Ya pemiliknya maunya Anda berpikir seperti itu bukan?
R nya dikasih ratio 52:1 (sangat kecil jadi ga pengaruh ke susunan pemilik), dan warannya yg dikasih banyak. 
Dg harga tebus waran 100, mereka asumsi ga bakal ditebus juga, paling dipakai trading waran.
Prediksi saya harga Fren ga akan jauh dari 100 dan sangat besar kemungkinan turun drastis setelah RI karena distribusi",FREN,11:39:33 PM,Saturday April 17 2021
11,12,Rays_Man,"Oalah..     
sebelumnya juga ada exercise waran.. 
aku kmaren tektok aja di FREN, beli lgs pasang bid jual di tik+1 dan +2   
mayan kuanggap 1tik cuan net 0.4% karena jual+beli (0.5%) 
buat iseng karena naik turunnya asik hehe",FREN,11:39:03 PM,Saturday April 17 2021
12,13,EL s,Bahkan banyak yg bilang RI FREN kali ini yg ambil pasti untung,FREN,11:38:39 PM,Saturday April 17 2021
