,Data,User,Pesan,Saham,Jam,Tanggal
0,1,hery,"Membalas : Pak Carik masih koin2 an di TimeZone
masih pembatasan pakde. belum nyaman main di timezone  
Membalas : Pak Carik @luckv02 udah balik ihsg apa masih di coin2an? Ihsg ijo lho
main celenganan mak  ",MAIN,11:01:28 PM,Tuesday April 6 2021
1,2,APO  ,"Membalas : yang lucu kalau emang yang katanya skenario nya bener terus kenapa harus nyerang orang lain? predksi skenario nya cuma full cash
Jgn dibocorin ahhh elah  ",CASH,10:21:48 PM,Tuesday April 6 2021
2,3,nathan,yang lucu kalau emang yang katanya skenario nya bener terus kenapa harus nyerang orang lain? predksi skenario nya cuma full cash index bakal turun ashiaap nanti kalau naik diem kalau turun gimana analisa saya bener gk ,CASH,10:08:49 PM,Tuesday April 6 2021
3,4,Andrian,"Membalas : Btw dia kurang nyindir saya tuh.. Klo org nya baca.. Saya request dong "" satu lagi org yg so misterius padahal tukang ramal ga
ntar hu bil di jilid 2 yah nnti requestnya ditampung dlu","BACA,SATU",10:07:13 PM,Tuesday April 6 2021
4,5,Fajar Oktavaria,"Membalas : Btw dia kurang nyindir saya tuh.. Klo org nya baca.. Saya request dong "" satu lagi org yg so misterius padahal tukang ramal ga
Hu bil lebih terkenal penyanyi TT soalnya   ","BACA,SATU",10:06:59 PM,Tuesday April 6 2021
5,6,nathan,"Membalas : Btw dia kurang nyindir saya tuh.. Klo org nya baca.. Saya request dong "" satu lagi org yg so misterius padahal tukang ramal ga
member nya die hard hu","BACA,SATU",10:06:44 PM,Tuesday April 6 2021
6,7,Billy,"Btw dia kurang nyindir saya tuh.. Klo org nya baca.. Saya request dong "" satu lagi org yg so misterius padahal tukang ramal  ga pake muka pula  macem tukang jual ayam tiren""


Plis plis.. Saya pngn juga di hujat, pngn tau rasanya  ","BACA,SATU",10:06:11 PM,Tuesday April 6 2021
7,8,Isal,"Membalas : Coba tunjukkan mukamu sini
Panjat sosial itu mungkin pakde, sabar pak",SINI,9:58:42 PM,Tuesday April 6 2021
8,9,Ferry Setiawan,"Membalas : Justru dia gak mau left Hu. Malah takut di kick. Aneh tho
Iya biarin aja, sabarin...   gak mau di kick supaya bisa nyinyirin isi diskusi disini...biarin aja toh yg dapat manfaat dari sini masih lebih banyak orang , kita fokus sama yg mau berkembang aja    ",SINI,9:53:38 PM,Tuesday April 6 2021
9,10,Rui :rocket: :speedboat::dancer: ,"Membalas : Ini nanti schemenya CENT bakal sama dg SAME. Hayo kita summon @RuiAuxilia SAME: EMTK akuisisi, lalu right issue buat bayar uta
Hayo hayooo dibahas!!

Wah terimakasih banyak insightnya kak Benhan, baru terbayang sekarang yang namanya corporate action itu secakep apa memutar uangnya.

Intinya berarti: HOLD KERAS CENT & SAME!!!         (disclaimer, ingat trading plan!!!)

btw EMTK kan jadi standby buyernya lagi ni buat SAME, kalau CENT si Clover sengaja mengurangi porsinya dia biar EP ID jd PSP .... akankah CENT dibawa k 400an biar RInya menarik buat ditebus???  

Lalu SAME bakalan cetak 5.7 M saham baru, berarti bole dibilang nanti rationya sekitar 2:1 ya nanti ... bakal berapakah harga tebusnya ini .....  

@hmasori  biarkan saja lah pak, saya dan banyak teman2 yang terbantu mendapatkan ilmu disini... jadi kalau  'anjing menggonggong, kafilah tetap berlalu' .... see what I did there?   ","CENT,EMTK,SAME",9:50:58 PM,Tuesday April 6 2021
10,11,Nurani Wahyu Sulistyo,"Membalas : ITMG dividen per lembar Rp.411, dividen interim Rp.307 sisanya dibagikan Rp.104 Cum : 15Apr ExDate : 16Apr
Mau tanya info resminya bs diakses dimana ya",ITMG,9:50:53 PM,Tuesday April 6 2021
11,12,krm nugraha,"Membalas : https://www.instagram.com/p/CNUvbYNgYgZ/?igshid=1goyenk2pqqor
sebenarnya bank digital susah d manipulasi",BANK,9:49:31 PM,Tuesday April 6 2021
12,13,krm nugraha,"Membalas : Photo
asem beut nih org,masa HTF d bilang ilmu sesat. HTF kan membawa nikmat 
jd pnasaran,yg mana ya orangnya......
yo...nongol...yo......",MASA,9:41:58 PM,Tuesday April 6 2021
13,14,Fajar Oktavaria,"saya lebih berpendapat kayanya buat keuntungan pribadi buat bikin grup baru semacam ""grup skenario"" tapi pakai analisa sini sih
karna kalau tujuan awalnya nyiyir = ga suka ya tinggal buat keributan disini lalu keluar aja",SINI,9:34:22 PM,Tuesday April 6 2021
14,15,Rafles Siba,"Membalas : Coba tunjukkan mukamu sini
Ga berani nongol pakde 
Paling dia ga cuan di saham coba coba ke crypto tau nya di crypto lbh sadis makin ga cun dan sakit hati deh   ",SINI,9:34:10 PM,Tuesday April 6 2021
15,16,Frendi cari-ara,"Membalas : ga mungkin, karna butuh analisa suhu sini buat dibikin jadiin ""skenarionya"" kalau di grup sebelah ibarat ""yang angkatan xx angka
Nah ini. Mau nyinyir butuh bahan jd tetep diam walau mungkin gantian panas skrg",SINI,9:31:33 PM,Tuesday April 6 2021
16,17,Bayu Anggara,Kalau merasa ga guna out aja lah ngapain di sini. Dia stay di sini aja udah berarti dia butuh,SINI,9:29:16 PM,Tuesday April 6 2021
17,18,Fajar Oktavaria,"Membalas : Kalo jagoan sih nongol ya...
ga mungkin, karna butuh analisa suhu sini buat dibikin jadiin ""skenarionya""
kalau di grup sebelah ibarat ""yang angkatan xx angkat tangan"" ga mungkin left karna butuh analisa suhu grup sebelah
Goalsnya buat bikin sekte baru tapi pake analisa sini",SINI,9:29:14 PM,Tuesday April 6 2021
18,19,Faliq H,"Membalas : Emang enak baca doang gak bisa counter
Hahahahaha pakde kayak belajar psikologis orang. Bener, ini rasanya ga enak banget  ",BACA,9:29:10 PM,Tuesday April 6 2021
19,20,Andreas Teddy,Ga sekalian nyalahin miss EM yang bilang Agro Agro Agro tapi turun  ,AGRO,9:29:06 PM,Tuesday April 6 2021
20,21,Aho Lie,"Membalas : Emang enak baca doang gak bisa counter
Udah mau ramadhan biarin pakde ampunin tar adabalasannya  ",BACA,9:29:03 PM,Tuesday April 6 2021
21,22,Hendro Masori,"Emang enak baca doang gak bisa counter
    ",BACA,9:27:53 PM,Tuesday April 6 2021
22,23,Gue Keren,"Membalas : Ya masa rekom saham bulan November kok masih dibahas di bulan April wkwk
Bagi dia ""stock only goes up""",MASA,9:27:31 PM,Tuesday April 6 2021
23,24,Hendro Masori,Nah biar dia baca,BACA,9:27:29 PM,Tuesday April 6 2021
24,25,Aho Lie,"Membalas : Kalau punya nyali ayo nongol sini si ampunbangjago
Org kyk gitu mana berani nonggol pakde berani lempar batu sembunyi tgn ",SINI,9:27:29 PM,Tuesday April 6 2021
25,26,Andreas Teddy,"Membalas : Photo
Ga ada ajakan beli ga ada bilang entry di berapa, TP di berapa, gentleman talk murni bahas analisa tentang apa yg lagi in, PTPP juga sudah dibilangin swf sudah price in berita nya dari tahun lalu..

Kyknya dia boncos terus nyari orang lain buat disalahin

Bingung  ",PTPP,9:27:05 PM,Tuesday April 6 2021
26,27,Bayu Anggara,Ya masa rekom saham bulan November kok masih dibahas di bulan April wkwk,MASA,9:26:15 PM,Tuesday April 6 2021
27,28,Hendro Masori,Kalau punya nyali ayo nongol sini si ampunbangjago,SINI,9:25:19 PM,Tuesday April 6 2021
28,29,Alzur Zanni,"Knp bbyk yang sirik, d sini cms kasih msukan wdukasi. Terus dia masuk dan anggap yang d share stockpick dan nyangkut nyalahin orang lain",SINI,9:24:18 PM,Tuesday April 6 2021
29,30,Hendro Masori,"Membalas : Komplotan titip uang Pakde?
Saya gak mau nuduh sih",UANG,9:24:14 PM,Tuesday April 6 2021
30,31,Frendi cari-ara,"Membalas : Coba tunjukkan mukamu sini
Komplotan titip uang Pakde?","SINI,UANG",9:18:00 PM,Tuesday April 6 2021
31,32,Hendro Masori,Coba tunjukkan mukamu sini,SINI,9:16:06 PM,Tuesday April 6 2021
32,33,Hendro Masori,"Orangnya ada disini
Sengaja bikin akun baru trus jelek2 in",TRUS,9:14:53 PM,Tuesday April 6 2021
33,34,Benhan,"Membalas : uma itu basa basi yg gk lucu, pembodohan publik semua. saham mau ara/arb, trus perusahaannya ditegur uma ama bei, jawabannya sdh
Masalahnya market makernya kerja atas instruksi emiten juga hehe",TRUS,9:03:38 PM,Tuesday April 6 2021
34,35,Andi FX,"Membalas : ARB kenapa dikasih UMA? Tambah kasihan donk ga bisa dijual hehe... UMA nya: hai direksi tolong jelaskan kenapa harga sahammu tur
uma itu basa basi yg gk lucu, pembodohan publik semua. saham mau ara/arb, trus perusahaannya ditegur uma ama bei, jawabannya sdh pasti cuma 1 , dan pasti diterima: saham kami mau ara/ arb bukan urusan kami, itu kan yg buat  pelaku pasar, market, trader, investor. masa pak bursa gak tahu sih? kog nyalahi kami. ente salah sasaran  . Pak bursa trus manggut2: oh..begitu y ..yo wis kalo gitu  ","MASA,TRUS",9:02:13 PM,Tuesday April 6 2021
35,36,ko Willy,"Membalas : Dari pda BNBA mending BNB aja 
Wushhh :rocket:",BNBA,8:52:16 PM,Tuesday April 6 2021
36,37,Kaanz',Dari pda BNBA mending BNB aja ,BNBA,8:50:55 PM,Tuesday April 6 2021
37,38,Wafa,"Membalas : 2-3 ARB lagi lah ya https://www.tradingview.com/x/Ee9c4u2Y/
10 kali arb baru dapet uma,trus akhir maret ada transaksi nambah 9 hari lagi arbnya ",TRUS,8:49:52 PM,Tuesday April 6 2021
38,39,Adi,Fren..mau telbamg besok,FREN,8:31:56 PM,Tuesday April 6 2021
39,40,Faliq H,"Membalas : Justru dgn arb 25% memaksa kita lebih disiplin cut loss.. Eh tergantung kita nya juga sih soalnya dlu saya trauma haka di ara
POSA? JGLE? TRAM? Atau kawan2nya? Wkwk","JGLE,POSA,TRAM",8:29:13 PM,Tuesday April 6 2021
40,41,Kaanz',"Membalas : Amit2. 13x ARB tanpa UMA  
Jelas beda  BNBA ARA juga tanpa konsolidasi , bahaya ",BNBA,8:28:40 PM,Tuesday April 6 2021
41,42,Faliq H,"Membalas : Iyak pak asal jngan kayak BNBA  , setalh naik pesat dihajar  
Amit2. 13x ARB tanpa UMA  ",BNBA,8:27:57 PM,Tuesday April 6 2021
42,43,Aho Lie,"Membalas : Ini nanti schemenya CENT bakal sama dg SAME. Hayo kita summon @RuiAuxilia SAME: EMTK akuisisi, lalu right issue buat bayar uta
      ","CENT,EMTK,SAME",8:27:34 PM,Tuesday April 6 2021
43,44,Kaanz',"Membalas : Ini nanti schemenya CENT bakal sama dg SAME. Hayo kita summon @RuiAuxilia SAME: EMTK akuisisi, lalu right issue buat bayar uta
  ","CENT,EMTK,SAME",8:26:54 PM,Tuesday April 6 2021
44,45,Benanta,"Membalas : Ga masuk akal itu Bank Net, ipo harga 135
Next TCPI itu bisa dibawa 8000an :ghost: ","BANK,TCPI",8:26:51 PM,Tuesday April 6 2021
45,46,Maimunah,"Membalas : Ini nanti schemenya CENT bakal sama dg SAME. Hayo kita summon @RuiAuxilia SAME: EMTK akuisisi, lalu right issue buat bayar uta
Hmmm","CENT,EMTK,SAME",8:26:13 PM,Tuesday April 6 2021
