,Pesan,Status
0,saham antm sangat cocok untuk di hold,netral
1,asii cocok juga kok jika mau dipakai untuk investasi,netral
2,investasi jangka panjang sih bagusnya asii,netral
3,asri menarik juga sebenarnya untuk di tahan,netral
4,gak cuma antm yang cocok di tahan jangka panjang,netral
5,untuk di hold mah paling sip ya antm,netral
6,sudah hold antm dari dulu,netral
7,investasi paling cocok ya di antm,netral
8,antm untuk di simpan lama tidak apa apa kok,netral
9,asii juga cocok untuk di simpan dalam waktu lama,netral
10,sudah ada beberapa bulan aku simpan saham antm,netral
11,banyak yang hold saham antm loh,netral
12,tahan aja jangan di jual kalo antm,netral
13,di simpan bisa juga tuh asri,netral
14,hold bagus nya berapa lama ya,netral
15,tunggu sampai antm naik dulu,netral
16,tunggu aja pasti worth it,netral
17,di hold kalau kata pakdhe,netral
18,saham bila di hold lama harus hati hati,netral
19,halt sama aja seperti hold,netral
20,"jangan di jual, halt saja",netral
21,tunggu dulu sampai harga nya stabil,netral
22,kalau harga belum stabil ya jangan di jual mending di hold,netral
23,hold aja itu perusahaan fundamentalnya bagus,netral
24,kalau fundamental bagus mah di simpan saja,netral
25,cek fundamental itu penting apa bila mau simpan saham,netral
26,perusahaan yang memiliki fundamental yang bagus itu cocok untuk di simpan saham nya,netral
27,saham di simpan apa bila kamu yakin saja,netral
28,seperti saya nge halt saham antm,netral
29,karena ya saham antm fundamental perusahaan nya bagus jadi cocok untuk di simpan,netral
30,simpan nya jangka waktu lama,netral
31,aku sih gembok saham antm,netral
32,antm sudah aku kunci untuk waktu lama,netral
33,"iya, kemarin banyak orang gembok asii",netral
34,gembok aja asri lumayan jangka waktu panjang,netral
35,kunci kalo fundamental nya bagus,netral
36,seperti kemarin saya kunci asii,netral
37,asii cocok banget sih untuk di gembok,netral
38,asii bisa untuk di long run,netral
39,maksud nya long run adalah di hold,netral
40,long run juga sama dengan long keep,netral
41,long keep arti nya adalah tahan dalam waktu yang lama,netral
42,coba saja kalau di simpan dalam tenggat waktu yang lana,netral
43,karena harga antm bisa berubah sewaktu waktu jadi di hold atau di halt atau di keeo,netral
44,tetangga kemarin juga keep antm untuk long run,netral
45,keep asii saja kali ya,netral
46,target long run antm bagus kok,netral
47,hold saja antm sampai cum date,netral
48,apabila saham nya negatif terus kemungkinan akan saya hold,netral
49,jika rugi dan niat anda berinvestasi ya mending di hold,netral
50,atau di tunggu aja sampai harga nya normal kembali,netral
51,simpan saja saham itu sampai cuan,netral
52,sampai harga naik bisa di simpan saja,netral
53,saya lebih suka untuk hold dari pada cl,netral
54,karena cl pasti rugi ya mending saya hold,netral
55,seperti tetangga saya dia cl tapi saya tunggu sampai stabil,netral
56,jadi dari pada kita cl alangkah lebih baik bila kita simpan saja,netral
57,di gembok apabila perlu,netral
58,kalau tidak to the mending di hold saja,netral
59,analisa saya mengenai perusahaan ini bagus untuk di simpan saham nya,netral
60,hold dulu saham itu fundamental nya bagus,netral
61,selain bagus untuk di hold ya hitung hitung investasi,netral
62,bank juga bagus untuk di simpan dalam jangka panjang,netral
63,simpan saja sampai bertahun tahun,netral
