,Unnamed: 0,Data,User,Pesan,Saham,Jam,Tanggal,Status
4,4,5,stefanus,"Membalas : Jangan dulu kak, seminggu lagi lah ditahan dulu ...   
CENT dluan ya yg ath ",CENT,9:56:41 PM,Sunday April 4 2021,Positif
6,6,7,Kaanz',"Membalas : Saya tetap di saham dulu kak, belum 1 tahun, masi bayi merangkak ini, mau nekunin disini dulu saja
SAME menuju ATH ci  
Semoga breakout pekan ini  @RuiAuxilia
",SAME,9:53:49 PM,Sunday April 4 2021,Positif
17,17,18,Lee Khong Huan,"Membalas : Besok kira"" msh rme hunter dividen g ya.,PTBA rups.,  
Ptba biasanya dividennya lumayan",PTBA,8:52:18 PM,Sunday April 4 2021,Positif
18,18,19,Andre Salim,ntar bbca tanda2 reversal baru rame lagi,BBCA,8:43:54 PM,Sunday April 4 2021,Positif
32,32,33,Al Blenk,"Besok kira"" msh rme hunter dividen g ya.,PTBA rups.,  ",PTBA,7:39:42 PM,Sunday April 4 2021,Positif
33,33,34,Jee Satya MantabBro,"Membalas :   Semoga besok rebound kenceng ya Bu....
Harus tuh, gila bener market d sini kalo gak rebon",SINI,7:39:40 PM,Sunday April 4 2021,Positif
42,42,43,Benanta,"Membalas : Jujur saya juga buta bgt karena ga mau belajar.. Padahal bos saya dlu beli BTC waktu masih 12 jutaan via bank BCA dlu ga tau gmn
Ebusett,, skrg uda brp itu ya   tapi klo liat cuannya ya gtu bukan ratusan % lagi 3 Bln bisa ribuan %",BANK,6:25:58 PM,Sunday April 4 2021,Positif
56,56,57,Benanta,"Membalas : Lihat dr chart sebelum ada isu gabung gojek saja sudah kliatan pak. Emiten begitu tapi ajib gorengnya dari 200- 5000 bolak balik
Tiap taun ada aja ya yg mega cuan ya pak seblum arto dulu ada tcpi yg joss juga dari 100an ke 8000  ","ARTO,MEGA,TCPI",1:00:39 PM,Sunday April 4 2021,Positif
57,57,58,Charles Prop,"Membalas : ARTO itu ada yg serap RI di 138
Lihat dr chart sebelum ada isu gabung gojek saja sudah kliatan pak. Emiten begitu tapi ajib gorengnya dari 200- 5000 bolak balik. 
",ARTO,12:16:49 PM,Sunday April 4 2021,Positif
58,58,59,Hauw,"ARTO itu ada yg serap RI di 138
Mereka yg skrg bandarin",ARTO,12:12:55 PM,Sunday April 4 2021,Positif
76,76,77,darno Ketagihan richeese nabati,"Saya hanya bilang aja kalau sebentar lagi meroket ngajak cuan bareng  ,

Kalau BBRI jebol 3.960 stop los aja ",BBRI,7:21:39 AM,Sunday April 4 2021,Positif
86,86,87,darno Ketagihan richeese nabati,"Investor retail mari kita serok ,mau bagi deviden",MARI,12:42:53 AM,Sunday April 4 2021,Positif
3,3,4,Kaanz',"Membalas : CENT dluan ya yg ath 
Besok turun dulu ya om 
",CENT,9:57:44 PM,Sunday April 4 2021,Negatif
