,Unnamed: 0,Unnamed: 0.1,Data,User,Pesan,Jam,Tanggal,Status,Saham
0,34,34,35,Maimunah,"Asing juga tinggal dikit sih kayaknya keluar juga ngak ngefek amat
Yg serem skrg ritel byk eui
Membalas : Photo
Kalau liat berdasarkan makin muda taun kyknya kgk efek ke IHSG alias ijo besok
Kalau copet mau IHSG merah atau ijo yg penting sore cuan dan kosong porto
",7:25:52 PM,Sunday March 28 2021,Positif,
1,38,38,39,Maimunah,"Membalas : Ia om  
Sentimen ijo kuat soalnya dimana mana Dilini masa ijo, tapi hasil akhir yg menang yg guyur ttp follow theoney",7:22:44 PM,Sunday March 28 2021,Positif,
2,54,54,55,Jimmy,"Membalas : Mohon pencerahan om, aturan CL 2% (atau berapapun) ini ..terhadap total modal atau terhadap modal per trade ya?
Idealnya sih dari modal per trade yah. Kan cuan juga targetnya modal per trade. Tapi kalo mau dari overall modal juga boleh aja. Tapi ngincer TP cuannya pastinya dari overall modal juga  ",3:02:55 PM,Sunday March 28 2021,Positif,
3,55,55,56,IHSG MORNING STAR OTW 6500,Haka antm 1jjta lot,2:54:23 PM,Sunday March 28 2021,Positif,
4,56,56,57,Kaanz ,"Membalas : mau tanya, volume dikatakan tinggi itu kalau diatas volume rata"" candle harian atau gmn ya?
Kalo menurut saya volume dikatakan tinggi apabila transaksi hari ini lebih besar dari transaksi hari sebelumnya, baik tekanan jual atau beli, mungkin ada yang ditambah lagi dari teman  correct bila salah",2:48:51 PM,Sunday March 28 2021,Positif,
5,60,60,61,Eko Bawono,"Membalas : Info dari Rm Alfius, Komisi Kepemudaan Keuskupan Makassar:  Mgr dan Para Romo serta teman2 sekalian... kami aman. Tidak ada kor
Syukurlah tdk ada korban jiwa dr umat.
#CENT. stlh sinyal wiseman1 valid ungu justru naik utk sementara orange. Struktur harga dan volume oke. Hmmmm
Ini adalah foto
#ANTM. Sinyal wiseman1 valid. Formasi candle sinyal buy. Hmmmm
Ini adalah foto",11:36:16 AM,Sunday March 28 2021,Positif,
6,99,99,100,Bu Nana,"Membalas : Kalo sudah kenal betul sahamnya sih ada kemungkinan. Cuman memang risky yah. Kecuali capital all-in nya tidak terlalu besar, kat
Ya pak Jimmy kenal pola dr awal ditarik dan biasanya memang sudah uptren dan posisinya 
1. Mantul dr ma 5 or ma 20 
2. Mantul dr support candle",11:33:09 PM,Saturday March 27 2021,Positif,
7,102,102,103,ryanless,"AGRO mantul di 1035
Ini adalah foto",10:53:58 PM,Saturday March 27 2021,Positif,
8,104,104,105,ryanless,"Membalas : Ne ap mksdny?
Kalo jebol mungkin mantulnya di fibo 0.5 om",10:34:53 PM,Saturday March 27 2021,Positif,
9,127,127,128,Avianto,"Yah itu yg sy maksud.. banyak jg retail yg "" gambling""  beli saham di hari LK krn prediksi di LK nya profit. Lalu saat LK keluar dan benar profit, maka  saham naik hr itu, kemudian TP di sore hari. 

Tetap ini masuk kriteria yg di sampaikan WB tadi
Menurut pendapat sy loh. Yg beda pendapat yah monggo
",8:09:46 PM,Saturday March 27 2021,Positif,
