,Data,User,Pesan,Jam,Tanggal,Status
0,1,hery,"aman pak. barusan pukul kentongan jam2an  
Membalas : Aman pak Carik? @luckv02
terbangun atau belum tidur nih?",1:02:31 AM,Tuesday March 30 2021,Hapus
1,2,Meneer Greg,Aman pak Carik? @luckv02,1:01:26 AM,Tuesday March 30 2021,Hapus
2,3,Van BS,"Malam semua, ijin bertanya . Kalau mencari seputar informasi terupdate soal rencana/strategi emiten dan laporan keuangan satu emiten di TW1 biasanya dimana ya ? Misal ICBP begitu ..",12:03:26 AM,Tuesday March 30 2021,Hapus
3,4,hery,"Membalas : Photo
good tip. thank you. harus owner nih, pakde @hmasori",11:54:58 PM,Monday March 29 2021,Hapus
4,5,Al Blenk,"Membalas : besok ijo tebel
Bukan masalh ijonya.,tpi trnsaksinya ,.ihsg ijo tpi emiten bluechip dll pda kebakar   ",11:32:44 PM,Monday March 29 2021,Negatif
5,6,Faliq H,"Membalas : IHSG ijo kok transaksi miskin sekali ya.,,apakah bandar lgi rombongan ziarah religi ???
bandarnya dikrangkeng, ga bisa goreng POSA, MYRX, TRAM, JGLE",11:30:43 PM,Monday March 29 2021,Negatif
6,7,Al Blenk,"IHSG ijo kok transaksi miskin sekali ya.,,apakah bandar lgi rombongan ziarah religi ???  ",11:26:12 PM,Monday March 29 2021,Negatif
7,8,Hendro Masori,"Nah khan siapa kemarin yg main masukin kesini
Aya aya wae",11:24:38 PM,Monday March 29 2021,Hapus
8,9,Ary,"Membalas : Photo
Biasanya kalo pas kemaren saya perhatikan arb dari bank bvic dan bgtg sama inpc pada nyesel jual arb tapi ya emang pait banget bisa sampe lossnya di 40%,karena ketika lot order di akum bandar itu bisa naik lagi dari arb sampe 10%, banyak yang average pas bandar akum jadi lossnya bisa ketutup.
Membalas : Biasanya kalo pas kemaren saya perhatikan arb dari bank bvic dan bgtg sama inpc pada nyesel jual arb tapi ya emang pait banget b
3 bank tersebut diakum sehari sama MG
",10:58:03 PM,Monday March 29 2021,Bingung
9,10,shendy,"Membalas : harusnya tuh kalo ara berjilid2 biarin aja pasar lagi naik ga sah di suspen , kalo arb berturut2 itu yg perlu disuspen
ara berjilid bikin ritel fomo... makin beli harga pucuk... arb berjilid bikin ritel ogah masuk... aman mana?",10:53:09 PM,Monday March 29 2021,Hapus
10,11,mrlinzx,"Membalas : Photo
harusnya tuh kalo ara berjilid2 biarin aja pasar lagi naik ga sah di suspen , kalo arb berturut2 itu yg perlu disuspen",10:49:13 PM,Monday March 29 2021,Hapus
11,12,rigeladitya,"INCO area demand, ada yang lagi ngumpul in banyak banget.
Ini adalah foto",10:48:22 PM,Monday March 29 2021,Positif
12,13,Benanta,"Membalas : Tentu ada alasan naik tinggi. Yg sy ingat inkp tkim brpt dan tpia naik multibagger krn fundamentalnya bagus. Lompatan laba ratus
Iya maksudnya itu di drive pake fundamental, ptsn pun juga sama kmrn,, cuman klo kasus yg skrg2 kan karena lagi hype aja jadi pola chart nya bentuk A shape gtu naik tinggi trus terjun bebas Abis itu lurus lagi dah  ..",10:26:02 PM,Monday March 29 2021,Hapus
13,14,hery,"apakah memasang order sekarang/tengah malam atau duluan menjamin order kita dijemput duluan/lolos ARB? jawabannya tidak. kalau tonton di video penjelasan pak HM mengenai pre order dan non LQ45, ada jawabannya.
order yg dipasang sekarang di simpan di sistem/server sekuritas dan akan dikirimkan sesuai jadwal sekuritas tersebut mengirim order ke JATS (sistem BEI). jadi selalu ada jeda waktu di sana.
Membalas : Wahh makasih pak carik , jadi selama order belum matched s setiap hari akan di pasang terus ya?
iya. maka itu saat pasang GTC ada durasi waktu yang harus diinput.
",10:20:10 PM,Monday March 29 2021,Bingung
14,15,Kaanz ,"Membalas : GTC itu Good Till Cancel. order yang akan dipasang terus selama durasi waktu yang diset sebelumnya. misalnya kita pasang order b
Wahh makasih pak carik , jadi selama order belum matched s setiap hari akan di pasang terus ya?",10:19:53 PM,Monday March 29 2021,Hapus
15,16,hery,"Membalas : Gtc order tu ap pak
GTC itu Good Till Cancel. order yang akan dipasang terus selama durasi waktu yang diset sebelumnya. misalnya kita pasang order buy BBRI di 4500 selama 1 bulan. sistem akan pasang itu setiap hari sampai 1 bulan atau terbeli",10:18:04 PM,Monday March 29 2021,Hapus
16,17,Melvin E. S.,"Membalas : Photo
Tentu ada alasan naik tinggi. Yg sy ingat inkp tkim brpt dan tpia naik multibagger krn fundamentalnya bagus. Lompatan laba ratusan persen didukung penjualan yg juga naik dst..",9:54:45 PM,Monday March 29 2021,Positif
17,18,widhi,"ada yg punya saham BSIM? sharing pandangan saham tsb dong suhu 
",9:46:34 PM,Monday March 29 2021,Hapus
18,19,John Ch,"Membalas : Nyangkut di saham sehat ga gorengan saja pusing, uangnya tidak bisa buat swing lagi karena sudah masuk 80%. Catatan buat teman t
sama persis  .. rencana jual besoknya tahu2 suspend ... skrg terima nasib ..arb sdh 8x ..entah sampai kapan",9:42:59 PM,Monday March 29 2021,Bingung
19,20,Mbah Bedjo,"Membalas : ERAA road to 3000 semoga semesta mendukung  
Sayangnya semesta gak mendukung   ",9:39:54 PM,Monday March 29 2021,Negatif
20,21,Sales ERAA,"Membalas : Sales eraa ini beneran hehe
ERAA road to 3000
semoga semesta mendukung  ",9:15:08 PM,Monday March 29 2021,Positif
21,22,Ocha,Sales eraa ini beneran hehe,9:11:45 PM,Monday March 29 2021,Hapus
22,23,Kaanz ,"Seperti nya CENT jg potensi membentuk cup and handle juga pak guru Eko Bawono , jika pola SSP gagal minggu ini, kalo dilihat dari volume jg mendukung, bagaimana dengan pendapat pak guru  time frame 4h
Ini adalah foto",9:06:59 PM,Monday March 29 2021,Positif
23,24,Benhan,"Membalas : Kacau, memang sedikit sekali maya ini total lot harian perdagangannya, Liat arto RI kemaren, saat ex date, kencengnya bukan mai
Mau tanya, apakah sudah tahu RI nya Maya itu tujuannya apa, nambah modal, bayar utang, atau nambah kepemilikan saham?
",8:56:10 PM,Monday March 29 2021,Hapus
24,25,ando,Hrum knp kuat sendiri ya?,8:44:45 PM,Monday March 29 2021,Positif
25,26,Andrian,"Membalas : Photo
mungkin arb sampe 1000 baru agak enakan",8:28:29 PM,Monday March 29 2021,Bingung
26,27,Aho Lie,"Membalas : Ada yang bisa jelaskan kenapa bank mayapada arb berjilid2 pasca 3 hari cum date RI? Padahal pas sentimen bank mini terbang, may
Klo liat chart hrsnya udah diangkat pak kemungkinan telat keluar hrs punya strategi klo aksi Ri gsk srmua sama   ",8:28:23 PM,Monday March 29 2021,Bingung
27,28,Soebianto,"Membalas : Itu volume gede waktu ngangkat bandar atau retail ya?  Apa bukan bandar yg angkat ARA berjilid2 gitu? Kalo gitu bandar + retail
Bandar makan barang sendiri = rugi fee tok, bukan sangkut",8:28:06 PM,Monday March 29 2021,Hapus
28,29,shendy,"Membalas : Bnba dikunci ARB yg kunci bandar?
dibalik aja... liat harga kaya gitu ritel berani masuk kah?",8:19:54 PM,Monday March 29 2021,Negatif
29,30,cuaners,"Membalas : Photo
Bnba dikunci ARB yg kunci bandar?",8:18:53 PM,Monday March 29 2021,Negatif
30,31,Nixon Maia,"Membalas : Photo
ya, ARB sudah 7x, semoga bsk ada yg mau nnampung ",8:15:44 PM,Monday March 29 2021,Bingung
