,Data,User,Pesan,Saham,Jam,Tanggal,Status
0,1,Jutha Bram,"Membalas : Tidak ada orang yang mau disebut sebagai bandar, karena bandar selalu berkaitan dg hal yg negatif. Misal bandar narkoba, bandar
Tambahan pak.
1. Seringkali terjadi, bandar dari suatu saham adalah emitennya sendiri.
2. Seringkali terjadi, bandar terus2an mengerek harga sambil melakukan distribusi (makan barang antriannya sendiri) utk menghemat dana demi tercapainya tujuan.
3. Seringkali terjadi market maker menggunakan automatic order/robo trading, agar bisa menarik offer yg tebal sekaligus dgn memakan offer2 sisa.
4. Seringkali terjadi market maker bekerja dlm tim yg mayoritas ahli statistika dan matematika.
5. Seringkali terjadi perpindahan barang dari kocek kiri ke kocek kanan sahaja yg membuat detector BDM terkecoh.
6. Seringkali terjadi BD memakai reverse psychology, dmn mereka dgn terang2an menunjukkan bahwa harga akan mereka naikkan, tp ritel malah takut.

Dan banyak hal laennya...

Yg pasti antara satu market maker dgn lainnya memiliki teknik dan strategi berbeda.
Tp kl kita sdh hapal mampus ciri2 dan gaya ""main"" mereka, disaat itulah kita bisa trade follow the giant ","AGAR,SATU",12:44:40 AM,Tuesday April 6 2021,Bingung
1,2,Jee Satya MantabBro,"Tidak ada orang yang mau disebut sebagai bandar, karena bandar selalu berkaitan dg hal yg negatif. Misal bandar narkoba, bandar judi dst.
*Market maker bukanlah bandar.

Disini berandai-andai saja jika ada orang yg disebut bandar.
Walau sebenarnya tidak ada yg namanya bandar. Karena semuanya yang ber uang besar atau kecil adalah investor dg tekniknya yg ingin cuan itu saja.

Berandai-andai saja dibawah ini :

Tata Cara ""Bandar"" memainkan saham :

0. Bandar mulai membeli sebanyak mungkin harga terendah ketika harga sebuah saham jatuh. (Inilah yg nanti akan dijual di harga teratas/tertinggi.
1. Bandar mulai menghitung slot kanan/ slot offer/ slot penawaran 
yang tersisa saat penutupan. Kemudian menyediakan sejumlah besar dana sesuai hitungan itu buat mengHAKA habiskan seluruh antrian, buat naikkan nantinya ketika acara pumping/menggoreng di mulai.
2. Ketika pasar dimulai, bandar mulai menyiapkan bid /pada slot kiri di berbagai harga dg space-space bid harga tertentu dari bid/buy pd harga high, middle, hingga harga yg paling rendah,bottom(ARB).
3. Diperlukan Saham di harga terendah dan uang besar. Kedua slot kiri dan kanan, bid dan offer nantinya bisa di manipulasi dg jumlah bid(buy) dan offer(sell) yg tiba2 membengkak dan bisa tiba2 menghilang.
4. Menyiapkan good news, dan bad news jika memungkinkan disebar di grup medsos. Untuk sebagai alasan menaikkan atau menurunkan nantinya.
5. Mendengarkan rumor2 yg terjadi di market, di grup2 saham, multimedia tv,koran, medsos FB, tweeter, Instagram, Telegram, WA, dan apa saja,dst. Kemudian memilihnya untuk nanti dijadikan bahan-bahan menggoreng/pumping sebuah saham.
6. Menyiapkan charting yg nantinya bisa ditetapkan titik seakan support dan resistnya
7. Disini entah darimana uang yg dipergunakan, apakah dari sebuah rombongan atau sendirian.

Permainan Psikology dan permainan Pasar dalam Menggoreng.

1. Pump and Dump
a.Bandar melakukan pembelian masif yg seolah-olah mereka adalah para retail.
Mengerek harga perlahan agar terlihat/ tertayang di running trade.
b.Ajakan atau pamer-pamer saham yg dikerek yg telah naik dikit di medsos grup, dan multimedia yg ada.
c.Setelah harga yg diinginkan bandar tercapai, maka kemudian di dump/guyur dg jualan masif dg sistem jual di HAKI habiskan antrian atau langsung ke harga di slot kiri secara terus-menerus hingga berhenti pd harga yg di planning sebelumnya oleh bandar.

2. Hype and Dump.
Seperti pump and dump, tapi menggunakan berita positif by rumor yg false dan kemudian siangnya atau besokknya bandar menjual/dump dg berita aslinya /istilah keren diguyur dg jualan secara besar-besaran dg cara HAKI terus2an.

 3. Pump and ARB locking.
Bandar seperti biasanya beli dan menaikkan harga berhari-hari dg system ARA atau hampir ARA. Setelah itu memguncinya dengan cara jualan HAKI beruntun dan seketika ARB, ARB dilanjutkan berhari-hari.
Kemudian setelah tercapai harga terendah yg dimaksudkan, ARB dibuka dg bandar mau membeli kembali saham di harga terendah.

4.Pump and Middle Fishing.
Cara Pumping Seperti biasanya, kemudian ditengah2 naiknya harga maka di ARB dg HAKI secara masif. Dan akhirnya dipertengahan ini semua pada jualan.
(Disini org tdk akan berani menahan barangnya krn ditakutkan ARB tidak dikerek lagi)
Kemudian di HAKA kembali dg masif hingga harga terkerek naik lagi supaya pengguna tidak jera dg saham itu dan menginap. Akhirnya diakhiri dg ARB berhari hari.

5. Open High, ending ARA besok ARB
Hingga titik yg diinginkan bandar.

6. High, low, ARA, sinus wave.. ending +10%
Memperkuat psikologi pemain yg akan digocek nantinya. Shg mereka tidak takut-takut menginapkan sahamnya buat besok hari. Dan selanjutnya berakhir ARB berhari hari dg jualan di HAKI.

6. Deviden Trap. Memanfaatkan suasana hati yg akan di trap, karena kebiasaan naik harga tiba2 jelang datangnya deviden.
","AGAR,GOOD,UANG",12:22:21 AM,Tuesday April 6 2021,Bingung
2,3,Aliong,"Bursa asia sama eropa beberapa libur, kang copet pd maen koin semua ini, banyak koin yg all time high :rocket:

Meanwhile ihsg : :money_with_wings:",KOIN,10:41:11 PM,Monday April 5 2021,Negatif
3,4,Kang Ngomel,Saatnya pindahin uang ke rdpu dan waktunya liburan sambil investasi leher keatas lagi  ,UANG,10:26:50 PM,Monday April 5 2021,Positif
4,5,nathan,Itmg juga kecil pak di bawah 1% ,ITMG,9:47:19 PM,Monday April 5 2021,Negatif
5,6,Rays_Man,"Membalas : KONTAN.CO.ID - JAKARTA. PT Bukit Asam Tbk (PTBA) memutuskan akan membagikan dividen sebesar Rp 835 miliar. Jumlah ini setara 35%
lgs kabur pindah ITMG  ",ITMG,9:46:46 PM,Monday April 5 2021,Positif
6,7,nathan,"Membalas : KONTAN.CO.ID - JAKARTA. PT Bukit Asam Tbk (PTBA) memutuskan akan membagikan dividen sebesar Rp 835 miliar. Jumlah ini setara 35%
Kecil banget lebih gede dividen bmri",BMRI,9:41:51 PM,Monday April 5 2021,Bingung
7,8,Novine 90210,"Membalas : Saya posting ini di grup saya, kalau salah maafkan. Krn prediksi blm tentu bener: ALL, Attention Please. Penurunan indeks sek
amin...noted Pak , terima kasih sharingnya   ",AMIN,9:12:27 PM,Monday April 5 2021,Hapus
8,9,Johny Asabro,"Membalas : Masa sih bukannya rumor aja itu
bukan rumor om, emg fakta ",MASA,9:07:06 PM,Monday April 5 2021,Hapus
9,10,Severinus Utomo,"Membalas : kan emg kejadian om, bpjs ngurangin porsi saham...Hampir mirip kasus asabri dlu, IHSG lgs ancur
Masa sih bukannya rumor aja itu",MASA,9:06:19 PM,Monday April 5 2021,Hapus
