,Data,User,Pesan,Saham,Jam,Tanggal,Status
0,1,Ronny,"Membalas : Photo
Skrg kok sering begini. Direksi beli saham sedikit, berita keluar harga naik sbtr tau2 dibanting.
Inkp, bbtn, bbca.","BBCA,BBTN,INKP",10:44:34 PM,Monday April 12 2021,Negatif
1,2,Ulfa,"Membalas : Selamat menunaikan ibadah puasa teman2 yg muslim. Kita berperang melawan hawa nafsu mulai besok. Semoga puasa kita diterima ole
Amin ya Allah
   ",AMIN,10:42:50 PM,Monday April 12 2021,Hapus
2,3,krm nugraha,"kalo telat cl,auto gembel
",AUTO,10:05:25 PM,Monday April 12 2021,Negatif
3,4,TAUFIQI ROMADHON,"Membalas : Ga bole pompom pak Baca teknikal nya ja pak
  ",BACA,9:38:19 PM,Monday April 12 2021,Negatif
4,5,Saya Siapa,"Membalas : Haka jpfa..  
Ga bole pompom pak
Baca teknikal nya ja pak
","BACA,JPFA",9:32:37 PM,Monday April 12 2021,Hapus
5,6,Safrudin Kurniawan,"Membalas : Harga ayam naik pak
Haka jpfa..  ",JPFA,9:31:21 PM,Monday April 12 2021,Positif
6,7,Alzur Zanni,"                                                          ,

Menjelang bulan Ramadhan kami sekeluarga mengucapkan Selamat menunaikan Ibadah Puasa 1442 H

Semoga puasa tahun ini berkah buat kita semua dan dilancarkan rezekinya buat kita semua. meskipun kita terpisah jauh hubungan silaturhami semoga terus berjalan hingga akhir hayat

Amin ya Rabbal Alamin     ",AMIN,9:21:09 PM,Monday April 12 2021,Hapus
7,8,Yoelhies Setiyono,"Membalas : Selamat menunaikan ibadah puasa teman2 yg muslim. Kita berperang melawan hawa nafsu mulai besok. Semoga puasa kita diterima ole
Amin ya Robbi",AMIN,8:34:45 PM,Monday April 12 2021,Hapus
8,9,Nomnom Girl,"Membalas : Saat anda berharap, saya yg udah lama cutloss BBKP hari ini cuan di ARTO. Hehe ini hanya contoh ya, jangan diambil hati.
Haha siap...style org memang beda2 hu  ","ARTO,BBKP",8:19:56 PM,Monday April 12 2021,Hapus
9,10,Maimunah,"Membalas : Haha kalau dikasih diskon punya cash ya girang... Masalahnya diskonnya saat cashnya dah kering ya, terus ga bisa jual barang. Ya
 ",CASH,8:19:44 PM,Monday April 12 2021,Hapus
10,11,Wibowo,"Membalas : Photo
Ikut di avg atau ambil di satu harga ?",SATU,8:13:46 PM,Monday April 12 2021,Positif
11,12,krm nugraha,"Membalas : Haha kalau dikasih diskon punya cash ya girang... Masalahnya diskonnya saat cashnya dah kering ya, terus ga bisa jual barang. Ya
alhamdllah porto masih ijo,banyak diskon cash kring ini yg bikin pusing ",CASH,8:11:24 PM,Monday April 12 2021,Positif
12,13,Benhan,"Membalas : Niat pertama trading bbkp...lama2 malah jadi investor bbkp karena sangkut...dan ngarep naik setinggi2nya sampe saat ini
Saat anda berharap, saya yg udah lama cutloss BBKP hari ini cuan di ARTO. Hehe ini hanya contoh ya, jangan diambil hati.  ","ARTO,BBKP",8:11:10 PM,Monday April 12 2021,Positif
13,14,Nomnom Girl,"Membalas : Dari yg awalnya niatnya pengen trading stock, terus tiba2 berubah haluan jadi investing (karena lossnya udah dalam, ga mampu avg
Niat pertama trading bbkp...lama2 malah jadi investor bbkp karena sangkut...dan ngarep naik setinggi2nya sampe saat ini  ",BBKP,8:09:53 PM,Monday April 12 2021,Positif
14,15,Benhan,"Membalas : indonesia memang hebat sambut rhomadon dimana mana pada diskon,sampe bursapun nawarin diskon
Haha kalau dikasih diskon punya cash ya girang...
Masalahnya diskonnya saat cashnya dah kering ya, terus ga bisa jual barang.
Ya cuma bisa meratap sedih deh",CASH,8:09:27 PM,Monday April 12 2021,Negatif
15,16,Rui :rocket: :speedboat::dancer: ,"Membalas : 5 kerugian kecil bisa dihapus oleh satu big profit. Tapi kalau 5 big losses? Ya wassalam.
     ini setuju banget, cut loss is your best friend","BEST,SATU",8:06:07 PM,Monday April 12 2021,Hapus
16,17,Benhan,"Membalas : Cut your losses, secure your capital, ga ada kompromi .... Seperti kak Benhan bilang, untuk mengembalikan kerugian dengan tradin
5 kerugian kecil bisa dihapus oleh satu big profit. 
Tapi kalau 5 big losses? Ya wassalam.",SATU,8:05:12 PM,Monday April 12 2021,Negatif
17,18,HASAN TOHA,"AGII closing mantap, profit naik 144% YOY 63B",AGII,7:55:32 PM,Monday April 12 2021,Positif
18,19,Ronny M.,"Asing jualan top marketp cap Bbca bbri tlkm asii
Ini adalah foto","ASII,BBCA,BBRI,TLKM",7:33:38 PM,Monday April 12 2021,Positif
19,20,Soebianto,"Membalas : Kalau ga mau cutloss ya hold aja buat jangka panjang, aman kok itu klo untuk jangka panjang
Aman.....asal gak butuh duit nya selama harga pasar di bawah harga beli, rasanya sangkut di saham apapun aman.. sampai duit nya dibutuhkan
",AMAN,7:30:53 PM,Monday April 12 2021,Netral
20,21,Jafar Sim,"Membalas : Ga setiap case seperti ini, terutama icbp belum ada tanda reversal, ptba langganannya setelah dividen harga jatuh (tapi kurang t
Terima kasih untuk info dan tips aham icbp dan coal  ","ICBP,PTBA",7:30:40 PM,Monday April 12 2021,Hapus
21,22,Fajar Oktavaria,"Membalas : Tips buat mengatasi kesedihan hati : silahkan diliat aja di grafik chart, sehancur hancurnya harga, sekuat kuatnya badai, coba l
Ga setiap case seperti ini, terutama icbp belum ada tanda reversal, ptba langganannya setelah dividen harga jatuh (tapi kurang tau kalo tahun ini karna dividennya kecil) kalau mau nunggu coals balik biasanya nunggu winter","ICBP,PTBA",7:27:19 PM,Monday April 12 2021,Negatif
22,23,Eddie,"Menurut saya lho yah, pendapat pribadi yg bisa salah: IHSG masih berat, banyak tekanan dari: BPJS, US10Y, saham2 kontruksi yg sangat jelek LK nya, vaksin kurang efektif di china, dan IHSG udah reli dari nop sampai pertengahan jan 21, apa msh berani masuk? Ini msh 5900 an lho, bisa aja turun lagi krn ga ada berita positif yg SIGNIFIKAN dan coba cek txn harian IHSG, sangat2 tipis....maaf ini bukan tebar fear tp drpd uang menguap ga jelas, kan sayang...","RELI,UANG",7:06:12 PM,Monday April 12 2021,Negatif
23,24,Eddie,"Membalas : Saya kasih contoh aja pengalaman pribadi ya. Beli ELSA dulu di 460an terus saya avg down terus sampai lumayan turun sampai di 4
Ini baru trader sejati brani cut loss tdk mencintai saham dan tidak ikut pom pom ers   ",ELSA,6:56:47 PM,Monday April 12 2021,Hapus
24,25,Jafar Sim,"26 maret 2020 harga bbkp hancurrr closing di 89 aja  sekarang tgl 12 april 2020 tadi closing di 498    kalau ga kuat ya ga usa buka tradingnya aja
Ini adalah foto
Membalas : Photo
Sekarang 12 april 2021, sorry typo gara gara rugi terlalu banyak hari ini,,, dan kemarin,, dan kemarin,,, hmmm dan kemarinnya lagi  ",BBKP,6:50:05 PM,Monday April 12 2021,Negatif
25,26,Benhan,"Membalas : Ngga pernah trading pak, itu beli saham dari dulu tapi gak naik2
Bayangkan berapa banyak opportunity loss karena nungguin harga balik.
Kalau di cutloss terus dananya buat beli saham yg lagi uptrend, lebih cepat tuh balik ruginya.

Tapi ingat ya entry pointnya pakai analisa dan bikin trading plan.

Jangan kira  lempar kayu jadi tanaman.    ","KAYU,PLAN",6:48:23 PM,Monday April 12 2021,Negatif
26,27,Jafar Sim,"Membalas : Saya kasih contoh aja pengalaman pribadi ya. Beli ELSA dulu di 460an terus saya avg down terus sampai lumayan turun sampai di 4
Tips buat mengatasi kesedihan hati : silahkan diliat aja di grafik chart, sehancur hancurnya harga, sekuat kuatnya badai, coba liat lagi harga nya setelah beberapa bulan? Minggu? Rasa sedih dan pusing itu yg harus dikurangin    wait saya kasih gambarnya yaaa",ELSA,6:47:50 PM,Monday April 12 2021,Hapus
27,28,yuki pt,"Membalas : Ngga pernah trading pak, itu beli saham dari dulu tapi gak naik2
Icbp aman hold aja pak
Ptba siy kalo sy kurang pas kalo utk invest jangka panjang
Pgas siy masi ok mdh2an segera mantul","AMAN,ICBP,PGAS,PTBA",6:47:42 PM,Monday April 12 2021,Netral
