,Data,User,Pesan,Jam,Tanggal,Status
0,1,Hendro Masori,"Silahkan join buat yg lain juga
",11:41:23 PM,Sunday March 28 2021,Hapus
1,2,Hendro Masori,"Membalas : Ada channnelnya ga yahh supaya recommm ga ketutupan ama chat
Ada. @TheTradersChannel",11:41:11 PM,Sunday March 28 2021,Hapus
2,3,Bu Nana,"Membalas : Lha kan kemarin sudah janji sama bu Nana  
Trimakasi Meneer saya baru sampe rmh, besok pagi baru bisa baca lbh detail, 

slamat malam dan beristirahat",11:30:18 PM,Sunday March 28 2021,Hapus
3,4,CutLiza,"Membalas : Jumat malam meneer greg, Om Billy, Hao, Hu MY kalau bisa join sharing trading set up.
Maaauuuu",11:26:34 PM,Sunday March 28 2021,Hapus
4,5,Ekky Triesna,"Tidak apa2 pa, yg penting di bls sama bapa Eko Bawono ..hhe 
Klo boleh tau itu yg di maksud garis hitam tsb apa pa? Apakah maksud nya area resis n supportnya pa ?
",10:18:01 PM,Sunday March 28 2021,Hapus
5,6,Meneer Greg,"Gd nite and good luck for nxt week   
Ini adalah foto",9:58:42 PM,Sunday March 28 2021,Hapus
6,7,IHSG MORNING STAR OTW 6500,"Membalas : Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart, sistem deposit / with
Binomo illegal",9:55:42 PM,Sunday March 28 2021,Negatif
7,8,Dharma Djiauw  ,"Membalas : Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart, sistem deposit / with
Traffic data di chart bisa dimainkan pak
 kalo profit 80% trader, 20% buat pihak sana, loss ya 100% trader 
Blm trmasuk permainan slippage dan requote",9:38:58 PM,Sunday March 28 2021,Negatif
8,9,Taupik Rahmat,"Membalas : Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart, sistem deposit / with
Kalo mau cepet miskin bisa main itu om  ",9:37:21 PM,Sunday March 28 2021,Negatif
9,10,Melvin E. S.,"Ok mksh..
Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart,  sistem deposit / withdraw dan web nya. Kabarnya sering di blokir situsnya sama kominfo. Mksh..",9:32:29 PM,Sunday March 28 2021,Negatif
