Normal,Status
asing tinggal sih kayak efek seram ritel eui balas foto lihat dasar muda efek ihsg alias hijau besok copet ihsg merah hijau sore cuan kosong porto,Positif
balas om sentimen hijau kuat mana lini hijau hasil menang guyur follow theoney,Positif
balas mohon cerah om atur cl total modal modal trade ya ideal sih modal trade yah cuan target modal trade overall modal incar tp cuan pasti overall modal,Positif
haka jjta lot,Positif
balas volume volume candle hari ya volume transaksi transaksi tekan jual beli tambah teman correct salah,Positif
balas info rm alfius komisi pemuda uskup makasar mgr romo teman kor syukur korban jiwa umat sinyal wiseman valid ungu naik orange struktur harga volume oke hm foto sinyal wiseman valid formasi candle sinyal buy hm foto,Positif
balas kenal saham sih risky yah kecuali capital all in nya kat ya jimmy kenal tarik uptren posisi mantap ma or ma mantap support candle,Positif
mantap foto,Positif
balas ne maksud jebol mantulnya fibonacci om,Positif
yah maksud ritel gambling beli saham lk prediksi lk nya profit lk profit saham naik tp sore masuk kriteria wb dapat loh beda dapat yah silah,Positif
yup day trading zero sum game cuan boncos beda cuan karena harga saham naik sebab hasil usaha cetak laba zero sum game orang pegang saham harga naik lk profit orang tarik saham shg saham naik harga,Positif
tarik chartnya apa lagi ri cuan njedog tuh,Positif
balas iya kadang cl harga naik jadi komit target iseng beli harga langsung haka naik turun jual naik fomo beli turun tahan maksud cl masuk tp plus,Positif
balas tp cl masuk kalah cepat average iya kadang cl harga naik jadi,Positif
balas persis pegang berita naik naik cuan lumayan bilang ama saudara sampa pullback break ath kemarin naik ikut kerja laku saham kerja positif,Positif
nya potensi ssp,Positif
balas dividen cari duit kupon obligasi bayar persis pegang berita naik naik cuan lumayan bilang ama saudara target tinggal langsung amblas dividen kabur bagus ngaruh saham sorry pribadi beda analisa kelar,Positif
balas contoh barusan jadi dirut tarik orang investor bijak bagus hubung orang nurut bilang untung naik tp dividen,Positif
potensi bikin hns foto,Positif
balas terimakasih insightnya garis ungu batas cl entry ya garis ungu sinyal buy candle,Positif
