,Data,User,Pesan,Saham,Jam,Tanggal
0,1,TERI NASI GABION Yes I CAN,"Membalas : Baru baca . Kabar baik, hu  
Tgl 19 ya Hu    ",BACA,11:54:53 PM,Tuesday April 13 2021
1,2,Mic,"FASE saham -> retail depresi, panik, fear dll. Fase Cyrpto -> euphoria, optimis dll... siklus bursa ini akan silih berganti.. saat ini bursa BEI ancur2 an tp nanti kebalikan bursa crypto ancur2 an... be safe guys
Ini adalah foto",SAFE,11:24:24 PM,Tuesday April 13 2021
2,3,Rocky Thohir,"Membalas : Rame group coin sebelah, yg online lebi banyak di banding sini
Ya market nya 24 jam bisa rame kapan saja",SINI,11:23:57 PM,Tuesday April 13 2021
3,4,Yosua Sitompul,Pen pulang kampung jadinya ke bali  ,BALI,10:55:57 PM,Tuesday April 13 2021
4,5,Nana Paramita,"Membalas : Tinggal di bali?
@RuiAuxilia yang tinggal di Bali  ",BALI,10:54:50 PM,Tuesday April 13 2021
5,6,Rui :rocket: :speedboat::dancer: ,"Membalas : Juni ke Bali ah abis lebaran
Saya tunggu!!       
",BALI,10:51:54 PM,Tuesday April 13 2021
6,7,Yosua Sitompul,"Membalas : Pas ntar ke Bali kek biasa yaaa   
Tinggal di bali?",BALI,10:37:51 PM,Tuesday April 13 2021
7,8,Joe,"Rame group coin sebelah, yg online lebi banyak di banding sini  ",SINI,10:33:23 PM,Tuesday April 13 2021
8,9,Hendro Masori,Juni ke Bali ah abis lebaran,BALI,10:28:49 PM,Tuesday April 13 2021
9,10,Rui :rocket: :speedboat::dancer: ,"Membalas : Pas ntar ke Bali kek biasa yaaa   
Kutunggu janjimu    

The Cafe or Soleil Sunday Brunch at Mulia? 

               ",BALI,10:22:23 PM,Tuesday April 13 2021
10,11,Nana Paramita,"Membalas :       mana traktirannya???                      
Pas ntar ke Bali kek biasa yaaa   ",BALI,10:21:23 PM,Tuesday April 13 2021
