,Data,User,Pesan,Saham,Jam,Tanggal
0,1,Rays_Man,"MDKA ini harga tembaga naiknya gila2an.. LK Q1 nya harusnya semakin bagus ini..  
",MDKA,12:54:12 AM,Tuesday April 27 2021
1,2,Yudy Sanjaya,"PT Merdeka Copper Gold Tbk (Merdeka) Announces Completion of Feasibility Study for the Acid Iron Metal (AIM) Project at Indonesia Morowali Industrial Park (IMIP) 

The Study has confirmed the technical, economic, and environmental feasibility of the AIM Project and supports the certification of a Class 3 Association for the Advancement of Cost Engineering ( AACE ) cost estimate. 

Based on project capital costs of US$290m,the AIM Project yields a compelling net present value ( NPV ) of US$407m at 8% discount rate with an internal rate of return ( IRR ) of 26%.

 We are pleased with the final results of the Study, which further confirm that the AIM Project is an exciting growth opportunity for Merdeka in terms of future Indonesian acid supply , stated Simon Milroy, Merdeka Vice President Director and Chief Executive Officer.",GOLD,12:17:59 AM,Tuesday April 27 2021
2,3,rahmad,"Membalas : https://investasi.kontan.co.id/news/matahari-department-store-lppf-bakal-menutup-13-gerai-tahun-ini
makin banyak berita fear ",LPPF,12:12:59 AM,Tuesday April 27 2021
3,4,Mamba Mentallity,"Membalas : Nabung aja mayan nih di sini seminggu ini naik terus wkwk
Cb deh tak bagi. Goog sm NIO. Kayaknya menarik",SINI,11:43:50 PM,Monday April 26 2021
4,5,Bayu Anggara,"Membalas : Ko sangar om. Wkwkwkw
Nabung aja mayan nih di sini seminggu ini naik terus wkwk",SINI,11:43:14 PM,Monday April 26 2021
5,6,Bayu Anggara,"Membalas : Us stock seperti bisa beli nasdaq dji gold gitu ya om?
Apple tesla google dkk",GOLD,11:39:51 PM,Monday April 26 2021
6,7,Kaanz',"Membalas : Gold gak bs. Cm saham yg di, nasdaq dll. Tp emitennya gak lengkap
Olala gold mungkin comodity di forex ya om?",GOLD,11:39:41 PM,Monday April 26 2021
7,8,Mamba Mentallity,"Membalas : Us stock seperti bisa beli nasdaq dji gold gitu ya om?
Gold gak bs. Cm saham yg di, nasdaq dll. Tp emitennya gak lengkap",GOLD,11:39:04 PM,Monday April 26 2021
8,9,Kaanz',"Membalas : Betul. Bs bl minimal $1 dan bs bl kayak crypto jg share nya. Dan bs dpet bonus $16 kayak tmen saya. Wkwkwk
Us stock seperti bisa beli nasdaq dji gold gitu ya om?",GOLD,11:38:27 PM,Monday April 26 2021
9,10,Roi,Hu ijin bertanya apakah kita tidak bisa pasang sell manual dan BO suatu emiten di mnc sekuritas dalam satu waktu ? Aku kok nyoba sell pake BO tapi gk bsa pasang sell di tick tertentu dan begitu sebaliknya aku pasang sell di tick tertentu tapi gak bsa pasang sell BO,SATU,11:19:25 PM,Monday April 26 2021
10,11,-,"Membalas : Photo
spertinya TINS manggung besok",TINS,10:54:33 PM,Monday April 26 2021
11,12,Jacob IR,"Nikel tins 
Ini adalah foto",TINS,10:53:51 PM,Monday April 26 2021
12,13,Tomatto Tomatto,Wood masi bisa bertahan ngak ni huu...billy..,WOOD,10:30:02 PM,Monday April 26 2021
13,14,Soebianto,"Membalas : BJBR kl ga salah RI nya masih nanti di Q1 2022
Bank aneh, butuh duit (mau RI) tapi bagi deviden","BANK,BJBR",9:11:45 PM,Monday April 26 2021
14,15,Rays_Man,"Membalas : https://www.cnbcindonesia.com/news/20210422165626-8-240081/masyita-crystallin-tol-road-fokus-utama-investasi-swf-ina
eh ada Syita.. jd orang hebat ternyata arek satu ini  
Membalas : saran,dimarket kaya gini sekali cuan cabut, kena sl disiplin
se7  ",SATU,9:00:01 PM,Monday April 26 2021
15,16,Kaanz',"Ini adalah foto
Same update, mantul ga nih? Ada 2 pola, ascending triangle dan falling wedge?","POLA,SAME",8:40:24 PM,Monday April 26 2021
16,17,nathan,"Membalas : Berat ini kalau ga fulltime trader. Saya pernah coba di ASSA. Kehilangan momentum cuan beberapa kali main tik tok. Overall masih
Bener nih tapi suka penasaran pakde punya saham bc gk ya ","ASSA,MAIN",8:37:51 PM,Monday April 26 2021
17,18,Aho Lie,"Membalas : Berat ini kalau ga fulltime trader. Saya pernah coba di ASSA. Kehilangan momentum cuan beberapa kali main tik tok. Overall masih
Tp tipe udah gini sudah jg gak bisa diem lama   ","ASSA,MAIN",8:34:58 PM,Monday April 26 2021
18,19,Aho Lie,"Membalas : Berat ini kalau ga fulltime trader. Saya pernah coba di ASSA. Kehilangan momentum cuan beberapa kali main tik tok. Overall masih
Ia pak kebyakn klo dihitung mlh diam lebh tebrl cusn dr petakilan","ASSA,MAIN",8:33:57 PM,Monday April 26 2021
19,20,Rui :rocket: :speedboat::dancer: ,"Membalas : Berat ini kalau ga fulltime trader. Saya pernah coba di ASSA. Kehilangan momentum cuan beberapa kali main tik tok. Overall masih
sangat setuju, saya petakilan di SAME terus ujung2nya nyesel, andai saya keep itu average saya dulu di 288   ","ASSA,MAIN,SAME",8:33:35 PM,Monday April 26 2021
20,21,Benhan,"Membalas : Kecuali masuk jg sama kyk pakde 254 trus jual dipucuk pas drop masuk lg terus sampai saat ini itu tingkat dewa
Berat ini kalau ga fulltime trader. Saya pernah coba di ASSA. Kehilangan momentum cuan beberapa kali main tik tok. Overall masih lebih baik tahan dari bawah","ASSA,DEWA,MAIN,TRUS",8:32:47 PM,Monday April 26 2021
21,22,Aho Lie,"Membalas : Kita yg keluar masuk SAME mau sejago apapun ga bisa cuan lebih dari Pakde yg avg nya di 254
Kecuali masuk jg sama kyk pakde 254 trus jual dipucuk pas drop masuk lg terus sampai saat ini itu tingkat dewa    ","DEWA,SAME,TRUS",8:29:29 PM,Monday April 26 2021
