,Data,User,Pesan,Saham,Jam,Tanggal
0,1,Chan,https://www.emitennews.com/news/catat-ini-jadwal-dividen-erajaya-swasembada-eraa-rp138-per-lembar,ERAA,11:24:34 PM,Tuesday June 1 2021
1,2,imam santoso,"Membalas : Kalo ihsg naik focus bris aja bris bisa bagger
kalo BBKP bisa ke berapa hu?  ","BBKP,BRIS",10:29:09 PM,Tuesday June 1 2021
2,3,Noveno Teddy,"Membalas : Kalau besok gimana pandanganga hu, saham/sektor apa aja yg potensi meroket
Kalo ihsg naik focus bris aja bris bisa bagger",BRIS,9:26:35 PM,Tuesday June 1 2021
3,4,Suhanto Agus,"Membalas : bisa, kasasi di MA Then, Peninjauan Kembali kalo diajuin sih, jarak 180 hari
Oh... Semoga gak melawan lagi dan BBKP naik ya  ",BBKP,8:54:26 PM,Tuesday June 1 2021
4,5,Hendra Choo,"Membalas : Kalau HMSP layak dikoleksi gk
kurang minat kalo hmsp, trending nya turun terus.",HMSP,8:09:09 PM,Tuesday June 1 2021
5,6,nathan,"Membalas : Kalau HMSP layak dikoleksi gk
Beli di saat di caci maki jual kalau udah banyak di pompom hu ",HMSP,7:57:17 PM,Tuesday June 1 2021
6,7,Mbah Bedjo,"Membalas : BRIS support d 1800, layak d koleksi.
Kalau HMSP layak dikoleksi gk","BRIS,HMSP",7:52:03 PM,Tuesday June 1 2021
7,8,nathan,"Membalas :    
Masuk bbkp lagi pakde?  ",BBKP,7:20:01 PM,Tuesday June 1 2021
8,9,hery,"Membalas : Nah ini aku mau nanya pak.. Gmn kalo harga nominal saham bedanya jauh dr harga ipo? Ada plus minusnya ga? Cthnya uniq harga nomi
tidak masalah kok. nominal itu kan harga yang tercatat di akta. harga IPO itu kan melalui proses bookbuilding, cari harga terbaik antara supply dan demand
Ini adalah foto",UNIQ,7:16:24 PM,Tuesday June 1 2021
9,10,Tom,"Membalas : Bbkp ri di harga 3000
Terjadilah.. terjadilah.. terjadilah..  ",BBKP,7:12:22 PM,Tuesday June 1 2021
10,11,Yulia,"Nah ini aku mau nanya pak..
Gmn kalo harga nominal saham bedanya jauh dr harga ipo?
Ada plus minusnya ga?
Cthnya uniq harga nominal 2,harga ipo 118",UNIQ,7:12:15 PM,Tuesday June 1 2021
11,12,Aliong,"Membalas : Ini bagus apa ga ya utk bbkp kedepan?
Jangka panjang bagus si harusnya, tp ya benalunya disingkirin dulu, makanya ga salah kalo ojk lawan bosowa disini, secara udah banyak keluar jg kb buat bukopin masa jembatan investasi buat orang2 korea kehambat trs, ilang laa integritas kita di mata investor",BBKP,6:16:34 PM,Tuesday June 1 2021
12,13,Riko Sindi,"ABBA ( SYARIAH )  

Apakah akan melanjutkan kenaikan?   

ABBA cukup menarik untuk dipantau besok, apalagi kenaikan kemarin disertai volume yang meningkat juga. 

Sempat mengalami koreksi setelah tepat mengenai fibo 0,5 untuk jangka pendeknya, tetapi asih ada potensi untuk kembali naik, apalagi MACD-nya sedikit lagi golden cross.

Untuk fasttrade, batasi resist di 262 dan 278.
 
@happytradesaham
#disclaimeron #bukanajakanbeli
Ini adalah foto",ABBA,6:09:38 PM,Tuesday June 1 2021
13,14,Mr. Saham,"Denger2 kookmin mau ningkatin kepemilikan ke 90%
Ini bagus apa ga ya utk bbkp kedepan?",BBKP,5:53:06 PM,Tuesday June 1 2021
14,15,Aliong,"Membalas : Kalau kB butuh sahamnya, RI ga bakal diangkat spt same ya, pak carik?
Bbkp ini gosipnya mau naik buku, jd ri yg skrg katanya si kookmin bukan standby buyernya jd memang butuh modal langsung dr masyarakat, makanya lucu ini satu sisi nyuruh bosowa keluar dengan dilusi, sisi lain kalo bosowa nebus ri nya malah porsi bosowa makin banyak di bbkp  
Makanya kalo hasil sidang td ttp dilanjut ke kasasi sama bosowa makin lama bosowa keluar dr bbkp makin lama dramanya
Yg jelas kalo liat historynya si bbkp selama ri itu hrg bisa dibawa turun dulu baru kemudian ditarik

Selama masi gosip2 yg beredar hati2 dulu aja jgn lgsg all in","BBKP,SAME",5:33:56 PM,Tuesday June 1 2021
15,16,Hendra Choo,"BRIS support d 1800, layak d koleksi.",BRIS,5:31:50 PM,Tuesday June 1 2021
16,17,hery,"Membalas : Kalau kB butuh sahamnya, RI ga bakal diangkat spt same ya, pak carik?
kalau RI benar tergantung pihak yang berkepentingan.apakah mau ritel tebus atau tidak. mereka gak mau retail tebus pun, bisa dikocok dulu atau ditekan terus.",SAME,5:31:44 PM,Tuesday June 1 2021
17,18,Lee Khong Huan,"Membalas : 100 ini nilai nominal. detil RI nya masih belum ada
Kalau kB butuh sahamnya, RI ga bakal diangkat spt same ya, pak carik?",SAME,5:29:07 PM,Tuesday June 1 2021
18,19,Yulia,"Membalas : Bbkp ri di harga 3000
100/lbr sie kmrn bacanya
Kalo 0 nya ga ilang ",BBKP,5:01:28 PM,Tuesday June 1 2021
19,20,nathan,"Membalas : Bbkp ri di harga 3000
jangan kebanyakan ngayal nanti sakit bro ",BBKP,4:58:45 PM,Tuesday June 1 2021
20,21,Mr. Saham,"Bbkp ri di harga 3000
The next bbca","BBCA,BBKP",4:46:02 PM,Tuesday June 1 2021
