,Data,User,Pesan,Saham,Jam,Tanggal
0,1,Kaanz',"Lagi hits gara"" syirik ama tetangga, diem dirumah tapi banyak duitnya 
",HITS,11:00:24 PM,Sunday May 2 2021
1,2,Nanang Eko,"Membalas : Jaga lilin masih oke pak? 
Yaa ini mksudnya jaga lilin di dalem kios ",KIOS,10:58:40 PM,Sunday May 2 2021
2,3,Kaanz',"Membalas : Jaga kios aja pak
Jaga lilin masih oke pak? ",KIOS,10:57:30 PM,Sunday May 2 2021
3,4,Nanang Eko,"Membalas : Kira2 utk besok apa yg bagus
Jaga kios aja pak",KIOS,10:48:39 PM,Sunday May 2 2021
4,5,Rizky,"Membalas : Kira2 utk besok apa yg bagus
Powr
",POWR,10:32:13 PM,Sunday May 2 2021
5,6,J IR,"Kaef  
Ini adalah foto",KAEF,10:01:29 PM,Sunday May 2 2021
6,7,nathan,"Membalas : Duniatex aja diselamatkan..apalagi sril yg tbk.... ntar restrukturisasi kreditnya keluar, sril loncat kodok
Kalau gk suspend  
",SRIL,9:05:05 PM,Sunday May 2 2021
7,8,Wahyu Rizky,"Membalas : Corona New Beta Version , Upgrade https://www.cnbcindonesia.com/news/20210502162403-4-242506/duh-ditemukan-di-india-corona-yang
Emoh. Udah muak dengan drama2 Plan-demi yang dikompor2kan media  ",PLAN,7:57:11 PM,Sunday May 2 2021
8,9,RBTAN59,"Membalas : Klo saya sh lebih ke bbhi pak, modalnya kecil soalnya 
   mang jg sdg ada  proses akum spt nya
coba masuk ach..
 sapa tau bisa ketemu ara ara an   ",BBHI,7:46:55 PM,Sunday May 2 2021
9,10,Nanang Eko,"Membalas : mana nih yg bisa di copet   
Klo saya sh lebih ke bbhi pak, modalnya kecil soalnya ",BBHI,7:46:02 PM,Sunday May 2 2021
10,11,Nanang Eko,"Membalas : Klo bisa mau ngambil gelar master   siapa tau tar bei ngundang lewat srkuritas ada anggota group TT yg masuk cnbn ksn lumayan
Klo udh master trus naik pangkat yaa ko, jd bandarnya copet ",TRUS,7:38:18 PM,Sunday May 2 2021
11,12,Nanang Eko,"Membalas : effect gak nih ke bbhi / mega    
Bakal loncat kanguru klo ini pak ","BBHI,MEGA",7:22:50 PM,Sunday May 2 2021
