,User,Hit,Miss,Rate
0,Maimunah,0,1,0.0
1,IHSG MORNING STAR OTW 6500,1,1,0.5
2,Bu Nana,4,4,0.5
3,ryanless,0,1,0.0
4,Avianto,1,0,1.0
5,Kaanz ,7,1,0.875
6,Aho Lie,18,11,0.6206896551724138
7,Chai Lie,2,2,0.5
8,Charles Prop,6,6,0.5
9,Billy,4,1,0.8
10,qodri,1,0,1.0
11,DEN,1,0,1.0
12,Fajar Oktavaria,3,6,0.3333333333333333
13,Rui :rocket: :speedboat::dancer: ,5,5,0.5
14,Benhan,13,11,0.5416666666666666
15,Alfian,0,1,0.0
16,Angga Bhara,0,3,0.0
17,Tommy Daniel,0,1,0.0
18,Andrian,0,1,0.0
19,Yugo Ginanjar,1,0,1.0
20,Muhammag kuncoro,4,3,0.5714285714285714
21,Dave @propertyimpianmurahsurabaya,1,0,1.0
22,Jutha Bram,4,1,0.8
23,Mic,9,3,0.75
24,Paw Paw,1,0,1.0
25,Jafar Sim,3,12,0.2
26,Hx,1,0,1.0
27,Humam,2,1,0.6666666666666666
28,rigeladitya,3,4,0.42857142857142855
29,Erich,6,6,0.5
30,den,1,1,0.5
31,as s,3,0,1.0
32,Rakhmad Nirmawan Nofendi,0,2,0.0
33,Septianto Francisco,1,1,0.5
34,Aliong,3,2,0.6
35,RBTAN59,6,1,0.8571428571428571
36,Soebianto,5,2,0.7142857142857143
37,Andi FX,2,1,0.6666666666666666
38,krm nugraha,2,1,0.6666666666666666
39,Bapakne Naila,1,2,0.3333333333333333
40,Vincent,2,2,0.5
41,R,0,3,0.0
42,Novian Yudha 087,1,0,1.0
43,Rolando,1,0,1.0
44,Efraim Arya,1,0,1.0
45,Johny,8,2,0.8
46,Yoga Dharmawan,1,0,1.0
47,Septio Hanifa,0,2,0.0
48,muriz,1,0,1.0
49,Deny Hermawan,1,0,1.0
50,Fadli,2,1,0.6666666666666666
51,Ardiyan Bagas,1,1,0.5
52,Virgaust,1,1,0.5
53,JK Vm,1,0,1.0
54,Vivian,0,1,0.0
55,Kirana L,2,2,0.5
56,Melvin E. S.,2,3,0.4
57,Sales ERAA,0,1,0.0
58,ando,0,1,0.0
59,Del,1,0,1.0
60,Ikke,0,1,0.0
61,Rendi Setiawan,1,0,1.0
62,Liem Peter,2,2,0.5
63,Chezy,0,2,0.0
64,Puspita Wardani,5,8,0.38461538461538464
65,WA,1,0,1.0
66,Faliq H,6,2,0.75
67,Tommy Hermes,4,3,0.5714285714285714
68,Hendro Masori,2,0,1.0
69,Novra,1,0,1.0
70,M Rodi,0,1,0.0
71,Nyangkuter Teh Pucuk,0,1,0.0
72,Dane Fernando,0,1,0.0
73,Mamba Mentallity,1,0,1.0
74,Go Jiu,1,0,1.0
75,Eds,0,1,0.0
76,M,0,1,0.0
77,Kelon Mas :baby_bottle::baby_bottle::baby_bottle:,0,1,0.0
78,Rey,1,1,0.5
79,mrs A,0,1,0.0
80,Benanta,2,1,0.6666666666666666
81,Ahmad Rifai,1,2,0.3333333333333333
82,A,0,1,0.0
83,Redy Yeee,1,0,1.0
