,Normal,Status,token
0,asing tinggal kayak efek seram ritel eui lihat dasar muda efek alias hijau copet merah atao hijau cuan kosong porto,Positif,"['asing', 'tinggal', 'kayak', 'efek', 'seram', 'ritel', 'eui', 'lihat', 'dasar', 'muda', 'efek', 'alias', 'hijau', 'copet', 'merah', 'atao', 'hijau', 'cuan', 'kosong', 'porto']"
1,sentimen hijau kuat lini hijau hasil menang guyur follow theoney,Positif,"['sentimen', 'hijau', 'kuat', 'lini', 'hijau', 'hasil', 'menang', 'guyur', 'follow', 'theoney']"
2,mohon cerah atur cl atao hadap total modal atao hadap modal trade ideal modal trade cuan target modal trade overall modal incar tp cuan overall modal,Positif,"['mohon', 'cerah', 'atur', 'cl', 'atao', 'hadap', 'total', 'modal', 'atao', 'hadap', 'modal', 'trade', 'ideal', 'modal', 'trade', 'cuan', 'target', 'modal', 'trade', 'overall', 'modal', 'incar', 'tp', 'cuan', 'overall', 'modal']"
3,haka jjta,Positif,"['haka', 'jjta']"
4,volume tinggi volume candle atao volume tinggi transaksi transaksi tekan jual atao beli correct salah,Positif,"['volume', 'tinggi', 'volume', 'candle', 'atao', 'volume', 'tinggi', 'transaksi', 'transaksi', 'tekan', 'jual', 'atao', 'beli', 'correct', 'salah']"
5,info rm alfius komisi pemuda uskup makasar mgr romo kor syukur korban jiwa umat sinyal wiseman valid ungu naik orange struktur volume oke sinyal wiseman valid formasi candle sinyal buy,Positif,"['info', 'rm', 'alfius', 'komisi', 'pemuda', 'uskup', 'makasar', 'mgr', 'romo', 'kor', 'syukur', 'korban', 'jiwa', 'umat', 'sinyal', 'wiseman', 'valid', 'ungu', 'naik', 'orange', 'struktur', 'volume', 'oke', 'sinyal', 'wiseman', 'valid', 'formasi', 'candle', 'sinyal', 'buy']"
6,kenal risky kecuali capital all in kat kenal tarik uptrend posisi mantap ma ma mantap support candle,Positif,"['kenal', 'risky', 'kecuali', 'capital', 'all', 'in', 'kat', 'kenal', 'tarik', 'uptrend', 'posisi', 'mantap', 'ma', 'ma', 'mantap', 'support', 'candle']"
7,mantap,Positif,['mantap']
8,ne maksud jebol mantap fibonacci,Positif,"['ne', 'maksud', 'jebol', 'mantap', 'fibonacci']"
9,maksud ritel gambling beli lk prediksi lk profit lk profit naik tp masuk kriteria wb loh beda silah,Positif,"['maksud', 'ritel', 'gambling', 'beli', 'lk', 'prediksi', 'lk', 'profit', 'lk', 'profit', 'naik', 'tp', 'masuk', 'kriteria', 'wb', 'loh', 'beda', 'silah']"
10,day trading zero sum game cuan boncos beda cuan naik hasil usaha cetak laba zero sum game orang pegang naik lk profit orang tarik shg naik,Positif,"['day', 'trading', 'zero', 'sum', 'game', 'cuan', 'boncos', 'beda', 'cuan', 'naik', 'hasil', 'usaha', 'cetak', 'laba', 'zero', 'sum', 'game', 'orang', 'pegang', 'naik', 'lk', 'profit', 'orang', 'tarik', 'shg', 'naik']"
11,tarik chartnya apa lagi ri cuan njedog,Positif,"['tarik', 'chartnya', 'apa', 'lagi', 'ri', 'cuan', 'njedog']"
12,kadang cl naik komit target iseng beli tinggi haka naik turun jual naik fomo beli turun tahan maksud cl masuk tinggi tp plus,Positif,"['kadang', 'cl', 'naik', 'komit', 'target', 'iseng', 'beli', 'tinggi', 'haka', 'naik', 'turun', 'jual', 'naik', 'fomo', 'beli', 'turun', 'tahan', 'maksud', 'cl', 'masuk', 'tinggi', 'tp', 'plus']"
13,tp cl masuk kalah cepat average tinggi kadang cl naik,Positif,"['tp', 'cl', 'masuk', 'kalah', 'cepat', 'average', 'tinggi', 'kadang', 'cl', 'naik']"
