Normal,Status
"['serok', 'wsbp', 'lumayan']",Belum
"['asing', 'tinggal', 'sih', 'kayak', 'ngefek', 'yg', 'seram', 'ritel', 'eui', 'balas', 'photo', 'kalau', 'lihat', 'dasar', 'muda', 'efek', 'ihsg', 'alias', 'hijau', 'besok', 'kalau', 'copet', 'ihsg', 'merah', 'hijau', 'sore', 'cuan', 'kosong', 'porto']",Positif
"['balas', 'ia', 'om', 'sentimen', 'hijau', 'kuat', 'mana', 'lini', 'hijau', 'hasil', 'menang', 'guyur', 'follow', 'theoney']",Positif
"['balas', 'mohon', 'cerah', 'om', 'atur', 'cl', 'total', 'modal', 'modal', 'trade', 'ya', 'ideal', 'sih', 'modal', 'trade', 'yah', 'kan', 'cuan', 'target', 'modal', 'trade', 'tapi', 'overall', 'modal', 'tapi', 'incar', 'tp', 'cuannya', 'pasti', 'overall', 'modal']",Positif
"['haka', 'antm', 'jjta', 'lot']",Positif
"['balas', 'volume', 'atas', 'volume', 'candle', 'hari', 'ya', 'kalo', 'volume', 'transaksi', 'transaksi', 'tekan', 'jual', 'beli', 'tambah', 'teman', 'correct', 'salah']",Positif
"['balas', 'info', 'rm', 'alfius', 'komisi', 'pemuda', 'uskup', 'makassar', 'mgr', 'para', 'romo', 'teman', 'aman', 'tidak', 'kor', 'syukur', 'korban', 'jiwa', 'umat', 'sinyal', 'wiseman', 'valid', 'ungu', 'naik', 'orange', 'struktur', 'harga', 'volume', 'oke', 'hmmmm', 'ini', 'foto', 'sinyal', 'wiseman', 'valid', 'formasi', 'candle', 'sinyal', 'buy', 'hmmmm', 'ini', 'foto']",Positif
"['balas', 'kalo', 'kenal', 'saham', 'sih', 'cuman', 'risky', 'yah', 'kecuali', 'capital', 'all', 'in', 'nya', 'kat', 'ya', 'jimmy', 'kenal', 'pola', 'tarik', 'uptren', 'posisi', 'mantul', 'ma', 'or', 'ma', 'mantul', 'support', 'candle']",Positif
"['agro', 'mantap', 'ini', 'foto']",Positif
"['balas', 'ne', 'maksud', 'kalo', 'jebol', 'mantulnya', 'fibo', 'om']",Positif
"['yah', 'maksud', 'ritel', 'gambling', 'beli', 'saham', 'lk', 'prediksi', 'lk', 'nya', 'profit', 'lalu', 'lk', 'profit', 'saham', 'naik', 'tp', 'sore', 'tetap', 'masuk', 'kriteria', 'wb', 'turut', 'dapat', 'loh', 'yg', 'beda', 'dapat', 'yah', 'monggo']",Positif
"['yup', 'day', 'trading', 'zero', 'sum', 'game', 'cuan', 'uang', 'boncos', 'beda', 'cuan', 'karena', 'harga', 'saham', 'naik', 'sebab', 'hasil', 'usaha', 'cetak', 'laba', 'ini', 'zero', 'sum', 'game', 'saat', 'orang', 'pegang', 'saham', 'harga', 'naik', 'lk', 'profit', 'orang', 'tarik', 'saham', 'shg', 'saham', 'naik', 'harga']",Positif
"['cent', 'tarik', 'chartnya', 'apa lagi', 'ri', 'cuan', 'njedog', 'tuh']",Positif
