Normal,Status
"['asing', 'tinggal', 'sih', 'kayak', 'efek', 'seram', 'ritel', 'eui', 'balas', 'foto', 'lihat', 'dasar', 'muda', 'efek', 'ihsg', 'alias', 'hijau', 'besok', 'copet', 'ihsg', 'merah', 'hijau', 'sore', 'cuan', 'kosong', 'porto']",Positif
"['balas', 'om', 'sentimen', 'hijau', 'kuat', 'mana', 'lini', 'hijau', 'hasil', 'menang', 'guyur', 'follow', 'theoney']",Positif
"['balas', 'mohon', 'cerah', 'om', 'atur', 'cl', 'total', 'modal', 'modal', 'trade', 'ya', 'ideal', 'sih', 'modal', 'trade', 'yah', 'cuan', 'target', 'modal', 'trade', 'overall', 'modal', 'incar', 'tp', 'cuan', 'pasti', 'overall', 'modal']",Positif
"['haka', 'antm', 'jjta', 'lot']",Positif
"['balas', 'volume', 'volume', 'candle', 'hari', 'ya', 'volume', 'transaksi', 'transaksi', 'tekan', 'jual', 'beli', 'tambah', 'teman', 'correct', 'salah']",Positif
"['balas', 'info', 'rm', 'alfius', 'komisi', 'pemuda', 'uskup', 'makasar', 'mgr', 'romo', 'teman', 'aman', 'kor', 'syukur', 'korban', 'jiwa', 'umat', 'sinyal', 'wiseman', 'valid', 'ungu', 'orange', 'struktur', 'harga', 'volume', 'oke', 'hm', 'foto', 'sinyal', 'wiseman', 'valid', 'formasi', 'candle', 'sinyal', 'buy', 'hm', 'foto']",Positif
"['balas', 'kenal', 'saham', 'sih', 'risky', 'yah', 'kecuali', 'capital', 'all', 'in', 'nya', 'kat', 'ya', 'jimmy', 'kenal', 'pola', 'tarik', 'uptren', 'posisi', 'mantap', 'ma', 'or', 'ma', 'mantap', 'support', 'candle']",Positif
"['agro', 'mantap', 'foto']",Positif
"['balas', 'ne', 'maksud', 'jebol', 'mantulnya', 'fibonacci', 'om']",Positif
"['yah', 'maksud', 'ritel', 'gambling', 'beli', 'saham', 'lk', 'prediksi', 'lk', 'nya', 'profit', 'lk', 'profit', 'saham', 'tp', 'sore', 'masuk', 'kriteria', 'wb', 'dapat', 'loh', 'beda', 'dapat', 'yah', 'silah']",Positif
